SampleID	Original order	Year	Month	Day	Temperature	Salinity	Chla	Nitrate	Phosphate	Silicate	Ammonium	DOC	TotalN	NP	BacterialAbundance	BacterialProduction	BacterialProduction
20110325	1.00	2011	3	25	1.50	6.35	1.32	2.35	0.55	11.20	0.00	361.04	17.53	31.87	1.35	8.20	0.61
20110330	2.00	2011	3	30	1.50	6.50	1.49	2.14	0.55	13.17	0.00	493.18	18.39	33.44	2.60	6.30	0.47
20110411	3.00	2011	4	11	2.40	6.30	4.60	1.01	0.45	12.90	0.70	390.05	19.01	42.24	2.06	19.30	1.43
20110414	4.00	2011	4	14	2.50	6.50	13.45	0.14	0.42	8.46	0.30	386.52	18.26	43.48	2.43	37.80	2.80
20110420	5.00	2011	4	20	4.30	6.30	5.88	0.33	0.28	10.78	0.23	388.95	17.77	63.46	3.37	69.10	5.13
20110427	6.00	2011	4	27	5.90	6.30	0.74	0.29	0.11	3.31	0.38	813.41	16.54	150.36	4.59	56.00	4.15
20110503	7.00	2011	5	3	4.00	6.30	1.22	0.19	0.18	5.22	2.52	569.27	21.11	117.28	NA	61.00	4.53
20110506	8.00	2011	5	6	5.00	6.20	1.43	0.12	0.24	7.99	1.51	905.79	17.14	71.42	3.61	67.20	4.99
20110509	9.00	2011	5	9	8.40	6.20	1.65	0.16	0.23	8.69	0.49	638.06	31.75	138.04	3.29	NA	NA
20110512	10.00	2011	5	12	10.00	6.20	1.23	0.29	0.32	9.16	0.47	362.22	16.94	52.94	3.00	45.90	3.41
20110516	11.00	2011	5	16	9.50	6.10	0.49	0.30	0.25	6.29	0.32	2409.48	17.69	70.76	4.00	NA	NA
20110519	12.00	2011	5	19	6.00	6.20	0.30	0.22	0.27	1.56	0.46	409.06	19.83	73.44	2.59	23.80	1.77
20110523	13.00	2011	5	23	7.80	6.20	1.60	0.15	0.22	1.70	0.18	832.37	16.58	75.36	3.60	37.20	2.76
20110526	14.00	2011	5	26	8.40	6.30	0.72	0.13	0.16	3.24	0.28	394.49	16.60	103.75	2.04	52.40	3.89
20110601	15.00	2011	6	1	7.40	6.50	0.23	0.19	0.35	9.78	1.30	529.72	16.74	47.83	1.94	15.30	1.14
20110607	16.00	2011	6	7	12.00	6.20	0.44	0.07	0.29	4.68	0.65	897.53	16.64	57.38	1.42	13.40	0.99
20110609	17.00	2011	6	9	13.30	6.10	0.39	0.17	0.16	2.80	0.43	391.70	16.36	102.25	5.69	28.30	2.10
20110613	18.00	2011	6	13	15.00	6.10	0.72	0.25	0.00	4.52	0.77	417.64	17.86	NA	5.94	47.30	3.51
20110616	19.00	2011	6	16	16.00	6.10	1.24	0.21	0.07	7.62	1.01	437.26	16.90	241.43	5.04	53.60	3.98
20110620	20.00	2011	6	20	15.00	6.85	1.70	0.59	0.14	5.66	0.56	484.74	18.00	128.57	2.48	72.10	5.35
20110628	21.00	2011	6	28	16.50	6.80	2.13	0.24	0.18	7.78	0.62	606.58	21.53	119.61	2.36	36.00	2.67
20110630	22.00	2011	6	30	16.70	6.70	2.25	0.33	0.13	8.33	0.68	595.20	23.59	181.46	2.80	56.70	4.21
