	0	1	2
Bacteroidetes	0.8941176470588236	0.10196078431372549	0.10980392156862745
Unclassified.Bacteria	0.21568627450980393	0.49411764705882355	0.7215686274509804
Actinobacteria	0.30196078431372547	0.6862745098039216	0.2901960784313726
Alphaproteobacteria	0.596078431372549	0.3058823529411765	0.6392156862745098
Chlorophyta	1.0	0.4980392156862745	0.0
Unclassified.Proteobacteria	1.0	1.0	0.2
Gammaproteobacteria	0.6509803921568628	0.33725490196078434	0.1568627450980392
Unclassified.Eukaryota	0.4	0.7607843137254902	0.6470588235294118
Verrucomicrobia	0.9882352941176471	0.5529411764705883	0.3843137254901961
Betaproteobacteria	0.5529411764705883	0.6274509803921569	0.796078431372549
Cyanobacteria	0.9058823529411765	0.5411764705882353	0.7647058823529411
Unclassified.Viruses	0.6509803921568628	0.8470588235294118	0.32941176470588235
ssDNA viruses	1.0	0.8509803921568627	0.1843137254901961
dsDNA viruses, no RNA stage	0.8980392156862745	0.7686274509803922	0.5803921568627451
Planctomycetes	0.10588235294117647	0.6196078431372549	0.4666666666666667
Alveolata	0.8509803921568627	0.37254901960784315	0.00784313725490196
Cryptophyta	0.4588235294117647	0.4392156862745098	0.7019607843137254
Haptophyceae	0.9058823529411765	0.1607843137254902	0.5411764705882353
Streptophyta	0.4	0.6509803921568628	0.11764705882352941
