	dataset	diversity	num_taxa	rank	sample	taxa	transporter	substrate_category	type	name	abbreviation
0	mg	3.0264672352149113	20	order	120314	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	2.7878924795833147	22	order	120322	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	3.681905474356667	20	order	120328	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	3.169746765891236	13	order	120403	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	3.088875108815461	13	order	120416	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	3.3977259776101647	19	order	120419	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	3.1529625569310236	14	order	120423	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	2.9661006943051085	13	order	120516	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	3.2187880641063797	19	order	120531	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	2.9229000779993446	11	order	120604	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	3.153316051971337	18	order	120613	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	2.9562136268604657	18	order	120619	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	3.1507628607516174	16	order	120628	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	3.020799299225971	15	order	120705	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	3.0124226773443565	14	order	120709	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	3.12789732865123	13	order	120717	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	3.355287903162085	22	order	120802	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	3.4650352668603097	19	order	120806	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	3.102797382681691	23	order	120813	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	2.874959952582254	20	order	120820	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	3.407839689738731	20	order	120823	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	3.140341436748573	15	order	120828	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	3.2492736541739187	16	order	120903	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	3.288902241136623	26	order	120920	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	3.094471291800091	22	order	120924	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	3.089364484734063	21	order	121001	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	3.031533061802173	16	order	121004	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	3.353352227314453	21	order	121015	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	3.4882420092946704	17	order	121022	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	3.3055125262520724	21	order	121028	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	2.8864360531149695	13	order	121105	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	3.5894921487447506	21	order	121128	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	3.3939192510680303	27	order	121220	all	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mg	2.923694315883824	18	order	120314	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	2.684621106396737	20	order	120322	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	3.473919788726097	18	order	120328	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	3.034126759930515	11	order	120403	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	2.8655997583819084	11	order	120416	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	3.2038320742647435	16	order	120419	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	2.961588762460077	11	order	120423	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	2.7917711891198693	11	order	120516	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	2.8603950366669486	14	order	120531	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	2.6512499104516425	9	order	120604	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
10	mg	3.039850931795588	16	order	120613	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
11	mg	2.5015862147590124	13	order	120619	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
12	mg	2.8443273590243234	13	order	120628	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
13	mg	2.739391629529658	12	order	120705	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
14	mg	2.7978497479209246	12	order	120709	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
15	mg	2.9568006229453543	11	order	120717	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
16	mg	3.1624104082741717	18	order	120802	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
17	mg	3.3179043559967973	14	order	120806	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
18	mg	3.235296116543531	19	order	120813	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
19	mg	2.5617771695372022	16	order	120820	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
20	mg	3.139039384491425	18	order	120823	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
21	mg	2.8700219288756275	12	order	120828	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
22	mg	2.9930429488986383	13	order	120903	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
23	mg	3.0323756002831637	21	order	120920	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
24	mg	2.7867215675475103	19	order	120924	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
25	mg	2.8594364999209345	19	order	121001	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
26	mg	2.793735575132291	14	order	121004	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
27	mg	3.0463860386633943	18	order	121015	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
28	mg	3.2323833896410115	15	order	121022	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
29	mg	3.1108512615519888	16	order	121028	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
30	mg	2.8186922143621502	11	order	121105	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
31	mg	3.3274694563750487	18	order	121128	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
32	mg	3.2332807909329206	23	order	121220	Bacteria	T287	Urea	3a	urea_urt: urea ABC transporter	NO
0	mg	-1	0	order	120314	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
1	mg	-1	0	order	120322	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
2	mg	-1	0	order	120328	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
3	mg	-1	0	order	120403	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
4	mg	-1	0	order	120416	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
5	mg	-1	0	order	120419	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
6	mg	-1	0	order	120423	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
7	mg	-1	0	order	120516	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
8	mg	-1	0	order	120531	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
9	mg	-1	0	order	120604	Eukaryota	T287	Urea	3a	urea_urt: urea ABC transporter	NO
