transporter	GO_level1	GO_level2	GO_level3	GO_level4	GO_level5	GO_level6	GO_level7	GO_level8	GO_level9	GO_level10	GO_level11	GO_level12	mainrole	sub1role	name
T796	molecular_function	binding	heterocyclic compound binding	nucleoside phosphate binding	nucleotide binding	purine nucleotide binding	purine ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	adenyl ribonucleotide binding	Transport and binding proteins	Other	rim_protein: rim ABC transporter
T930	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_chp_3: type VI secretion lipoprotein, VC_A0113 family
T136	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	VI_minor_4: type VI secretion-associated protein, BMA_A0400 family
T84	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Nucleosides, purines and pyrimidines	ncs1: NCS1 nucleoside transporter family
T501	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	L-amino acid transport	L-amino acid transport	L-amino acid transport	L-amino acid transport	Transport and binding proteins	Amino acids, peptides and amines	gltS: sodium/glutamate symporter
T148	biological_process	localization	establishment of localization	transport	ion transport	anion transport	organic anion transport	carboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	dicarboxylic acid transport	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
T841	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	cyc_pep_trnsptr: cyclic peptide transporter
T610	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Unknown substrate	2A067: efflux transporter, putative, hydrophobe/amphiphile efflux-3 (HAE3) family
T460	biological_process	localization	establishment of localization	transport	organic substance transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	Protein fate	Protein and peptide secretion and trafficking	pepcterm_ATPase: putative secretion ATPase, PEP-CTERM locus subfamily
T3	biological_process	localization	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	inorganic anion transport	Transport and binding proteins	Anions	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T797	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	2A0118: polyol permease
T285	biological_process	localization	establishment of localization	transport	organic substance transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	nucleobase-containing compound transport	Transport and binding proteins	Nucleosides, purines and pyrimidines	2A0110: nucleoside transporter
T238	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	VI_chp_5: type VI secretion protein, VC_A0107 family
T227	biological_process	multi-organism process	interspecies interaction between organisms	interaction with host	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	interaction with host via substance released outside of symbiont	Cellular processes	Pathogenesis	VI_effect_Hcp1: type VI secretion system effector, Hcp1 family
T298	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	substrate-specific transporter activity	Protein fate	Protein and peptide secretion and trafficking	holin_tox_secr: toxin secretion/phage lysis holin
T279	None	None	None	None	None	None	None	None	None	None	None	None	Protein fate	Protein and peptide secretion and trafficking	T7SS_EccA: type VII secretion AAA-ATPase EccA
T45	biological_process	localization	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	monovalent inorganic cation transport	Transport and binding proteins	Cations and iron carrying compounds	kup: potassium uptake protein
T35	molecular_function	transporter activity	substrate-specific transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	peptide transporter activity	Transport and binding proteins	Amino acids, peptides and amines	ISP4_OPT: small oligopeptide transporter, OPT family
T248	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	amino acid transport	neutral amino acid transport	cysteine transport	cysteine transport	cysteine transport	cysteine transport	None	None	CydD: thiol reductant ABC exporter, CydD subunit
T794	None	None	None	None	None	None	None	None	None	None	None	None	Transport and binding proteins	Amino acids, peptides and amines	3a0901s05TIC20: chloroplast protein import component, Tic20 family
T22	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	secretion by cell	secretion by cell	secretion by cell	secretion by cell	secretion by cell	Protein fate	Protein and peptide secretion and trafficking	secD: protein-export membrane protein SecD
T651	molecular_function	transporter activity	substrate-specific transporter activity	substrate-specific transmembrane transporter activity	amide transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	urea transmembrane transporter activity	Transport and binding proteins	Amino acids, peptides and amines	urea_trans_UrtC: urea ABC transporter, permease protein UrtC
T339	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	cellular_component	Transport and binding proteins	Unknown substrate	TRAP_fused: TRAP transporter, 4TM/12TM fusion protein
T27	biological_process	localization	establishment of localization	transport	organic substance transport	organic acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	amino acid transport	Transport and binding proteins	Amino acids, peptides and amines	stp: serine transporter
T467	biological_process	localization	establishment of localization	transport	organic substance transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	protein transport	Protein fate	Protein and peptide secretion and trafficking	secB: protein-export chaperone SecB
T275	biological_process	localization	establishment of localization	transport	single-organism transport	cofactor transport	coenzyme transport	coenzyme transport	coenzyme transport	coenzyme transport	coenzyme transport	coenzyme transport	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A	panF: sodium/pantothenate symporter
T674	biological_process	localization	establishment of localization	transport	single-organism transport	secretion	secretion by cell	protein secretion	protein secretion	protein secretion	protein secretion	protein secretion	Protein fate	Protein and peptide secretion and trafficking	LcrE: type III secretion regulator YopN/LcrE/InvE/MxiC
