transporter	Category1	Category2	name
T62	Amino acids, peptides and amines	Amino acid	livcs: branched-chain amino acid transport system II carrier protein
T863	Amino acids, peptides and amines	Amino acid	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
T1008	Amino acids, peptides and amines	Amino acid	2A0309: spore germination protein (amino acid permease)
T729	Amino acids, peptides and amines	Amino acid	2A0304: amino acid permease
T20	Amino acids, peptides and amines	Amino acid	2A0310: amino acid permease (yeast)
T23	Amino acids, peptides and amines	Amino acid	2A0303: cationic amino acid transport permease
T989	Amino acids, peptides and amines	Amino acid	2A0306: amino acid transporter
T92	Amino acids, peptides and amines	Amino acid	proV: glycine betaine/L-proline transport ATP binding subunit
T12	Amino acids, peptides and amines	Amino acid	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
T90	Amino acids, peptides and amines	Amino acid export	2A76: homoserine/Threonine efflux protein
T751	Amino acids, peptides and amines	Arginine-ornithine	arg_ornith_anti: arginine-ornithine antiporter
T585	Amino acids, peptides and amines	Basic amino acid	lao: LAO/AO transport system ATPase
T163	Amino acids, peptides and amines	Choline	ABC_choline_bnd: choline ABC transporter, periplasmic binding protein
T841	Amino acids, peptides and amines	Cyclic peptide	cyc_pep_trnsptr: cyclic peptide transporter
T248	Amino acids, peptides and amines	Cysteine	CydD: thiol reductant ABC exporter, CydD subunit
T359	Amino acids, peptides and amines	Cysteine	CydC: thiol reductant ABC exporter, CydC subunit
T492	Amino acids, peptides and amines	Cysteine	2A43: lysosomal Cystine Transporter
T882	Amino acids, peptides and amines	Ethanolamine	2A0305: ethanolamine permease
T969	Amino acids, peptides and amines	Gamma-aminobutyric acid	GABAperm: GABA permease
T501	Amino acids, peptides and amines	Glutamate	gltS: sodium/glutamate symporter
T88	Amino acids, peptides and amines	L-lysine export	2a75: L-lysine exporter
T7	Amino acids, peptides and amines	Neutral amino acid	sss: transporter, solute:sodium symporter (SSS) family
T46	Amino acids, peptides and amines	Oligopeptide	2A1704: oligopeptide transporter, peptide:H+ symporter
T35	Amino acids, peptides and amines	Oligopeptide	ISP4_OPT: small oligopeptide transporter, OPT family
T758	Amino acids, peptides and amines	Oligopeptide	TIGR00733: oligopeptide transporter, OPT family
T4	Amino acids, peptides and amines	Oligopeptide	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
T34	Amino acids, peptides and amines	Polyamine	potA: polyamine ABC transporter, ATP-binding protein
T27	Amino acids, peptides and amines	Serine	stp: serine transporter
T869	Anions	Chromate	2A51: chromate efflux transporter
T54	Anions	Anion	dass: transporter, divalent anion:Na+ symporter (DASS) family
T66	Anions	Molybdate	modA: molybdate ABC transporter, periplasmic molybdate-binding protein
T844	Anions	Organic anion	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
T60	Anions	Sulfate	sulP: sulfate permease
T21	Anions	Sulfate	3a0106s02: sulfate ABC transporter, permease protein
T541	Carbohydrates, organic alcohols, and acids	Alcohol	phenyl_ABC_PedC: alcohol ABC transporter, permease protein
T603	Carbohydrates, organic alcohols, and acids	Aromatic acid	2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family
T364	Carbohydrates, organic alcohols, and acids	Benzoate	benE: benzoate transporter
T588	Carbohydrates, organic alcohols, and acids	Bicarbonate	2A73: putative bicarbonate transporter, IctB family
T851	Carbohydrates, organic alcohols, and acids	Carbohydrate	bind_CPR_0540: carbohydrate ABC transporter substrate-binding protein, CPR_0540 family
T9	Carbohydrates, organic alcohols, and acids	Carbohydrate	PTS_I_fam: phosphoenolpyruvate-protein phosphotransferase
T56	Carbohydrates, organic alcohols, and acids	Carboxylic acid	lctP: transporter, lactate permease (LctP) family
T71	Carbohydrates, organic alcohols, and acids	Carboxylic acid	gntP: transporter, gluconate:H+ symporter (GntP) family
T152	Carbohydrates, organic alcohols, and acids	Carboxylic acid	2A0127: MFS transporter, phenyl propionate permease (PPP) family
T291	Carbohydrates, organic alcohols, and acids	Carboxylic acid	2A0112: MFS transporter, sialate:H+ symporter (SHS) family
T29	Carbohydrates, organic alcohols, and acids	Carboxylic acid	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
T451	Carbohydrates, organic alcohols, and acids	Chitin	chitin_NgcE: carbohydrate ABC transporter, N-acetylglucosamine/diacetylchitobiose-binding protein
T420	Carbohydrates, organic alcohols, and acids	Citrate	citMHS: citrate transporter
T430	Carbohydrates, organic alcohols, and acids	D-galactonate	2A0114: D-galactonate transporter
T148	Carbohydrates, organic alcohols, and acids	Dicarboxylic acid	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
T850	Carbohydrates, organic alcohols, and acids	Dicarboxylic acid	tdt: C4-dicarboxylate transporter/malic acid transport protein
T61	Carbohydrates, organic alcohols, and acids	Dicarboxylic acid	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
T380	Carbohydrates, organic alcohols, and acids	Ectoine	ectoine_ehuA: ectoine/hydroxyectoine ABC transporter, ATP-binding protein EhuA
T435	Carbohydrates, organic alcohols, and acids	Fatty acyl	3a01203: peroxysomal long chain fatty acyl transporter
T151	Carbohydrates, organic alcohols, and acids	Formate	formate_focA: formate transporter FocA
T937	Carbohydrates, organic alcohols, and acids	Fucose	fucP: L-fucose:H+ symporter permease
T779	Carbohydrates, organic alcohols, and acids	Glucose/Galactose transporter	gluP: glucose/galactose transporter WARNING
T368	Carbohydrates, organic alcohols, and acids	Glycerol-3-phosphate	glpT: glycerol-3-phosphate transporter
T249	Carbohydrates, organic alcohols, and acids	Glycoside	drrA: daunorubicin resistance ABC transporter, ATP-binding protein
T289	Carbohydrates, organic alcohols, and acids	Glycoside	drrB: daunorubicin resistance ABC transporter membrane protein
T209	Carbohydrates, organic alcohols, and acids	Malonate	malonate_madL: malonate transporter, MadL subunit
T395	Carbohydrates, organic alcohols, and acids	Monocarboxylic acid	2A0113: monocarboxylate transporter
T32	Carbohydrates, organic alcohols, and acids	Monocarboxylic acid	bass: bile acid transporter
T81	Carbohydrates, organic alcohols, and acids	Monocarboxylic acid	kdgT: 2-keto-3-deoxygluconate transporter
T194	Carbohydrates, organic alcohols, and acids	Oligosaccharide	2A0105: oligosaccharide:H+ symporter
T18	Carbohydrates, organic alcohols, and acids	Organic substance	2A0119: cation transport protein
T120	Carbohydrates, organic alcohols, and acids	Organic substance	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
T900	Carbohydrates, organic alcohols, and acids	Oxalate/formate	2A0111: oxalate/formate antiporter family transporter
T104	Carbohydrates, organic alcohols, and acids	Phosphoglycerate	2A0104: phosphoglycerate transporter family protein
T797	Carbohydrates, organic alcohols, and acids	Polyol	2A0118: polyol permease
T83	Carbohydrates, organic alcohols, and acids	Polysaccharide	BexC_CtrB_KpsE: polysaccharide export inner-membrane protein, BexC/CtrB/KpsE family
T562	Carbohydrates, organic alcohols, and acids	Polysaccharide	eps_transp_fam: exopolysaccharide transport protein family
T560	Carbohydrates, organic alcohols, and acids	Polysaccharide	polysaccharide export protein EpsE
T158	Carbohydrates, organic alcohols, and acids	Polysaccharide export	polys_exp_MPA1: polysaccharide export protein, MPA1 family
T559	Carbohydrates, organic alcohols, and acids	Rhamnose	RhaS: rhamnose ABC transporter, rhamnose-binding protein
T341	Carbohydrates, organic alcohols, and acids	Sugar efflux	2A0120: sugar efflux transporter
T53	Carbohydrates, organic alcohols, and acids	TRAP	dctP: TRAP transporter solute receptor, DctP family
T1	Carbohydrates, organic alcohols, and acids	Xylose	xylG: D-xylose ABC transporter, ATP-binding protein
T1xyl	Carbohydrates, organic alcohols, and acids	Xylose	xylG: D-xylose ABC transporter, ATP-binding protein
T1rha	Carbohydrates, organic alcohols, and acids	Rhamnose	RhaT L-rhamnose-proton symporter family protein
T830	Carbohydrates, organic alcohols, and acids	Xylose	xylF: D-xylose ABC transporter, D-xylose-binding protein
T845	Cations and iron carrying compounds	Cation	P2X: cation transporter protein
