PF03390	2-hydroxycarboxylate transporter family
PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
PF00324	Amino acid permease
PF13520	Amino acid permease
PF13906	C-terminus of AA_permease
PF08403	Amino acid permease N-terminal
PF01490	Transmembrane amino acid transporter protein
PF00950	ABC 3 transport family
PF01061	ABC-2 type transporter
PF12679	ABC-2 family transporter protein
PF12698	ABC-2 family transporter protein
PF12730	ABC-2 family transporter protein
PF13346	ABC-2 family transporter protein
PF06182	ABC-2 family transporter protein
PF09819	ABC-type cobalt transport system, permease component
PF00664	ABC transporter transmembrane region
PF06472	ABC transporter transmembrane region 2
PF13748	ABC transporter transmembrane region
PF04392	ABC transporter substrate binding protein
PF00005	ABC transporter
PF09822	ABC-type uncharacterized transport system
PF14510	ABC-transporter extracellular N-terminal
PF12848	ABC transporter
PF03806	AbgT putative transporter family
PF13000	Acetyl-coenzyme A transporter 1
PF13372	Alginate export
PF11744	Aluminium activated malate transporter
PF02293	AmiS/UreI family transporter
PF00909	Ammonium Transporter Family
PF01636	Phosphotransferase enzyme family
PF02374	Anion-transporting ATPase
PF06826	Predicted Permease Membrane Region
PF11700	Vacuole effluxer Atg22 like
PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF02807	ATP:guanido phosphotransferase, N-terminal domain
PF12156	Putative metal-binding domain of cation transport ATPase
PF12424	Plasma membrane calcium transporter ATPase C terminal
PF03797	Autotransporter beta-domain
PF12951	Autotransporter-associated beta strand repeat
PF09794	Transport protein Avl9
PF05437	Branched-chain amino acid transport protein (AzlD)
PF01311	Bacterial export proteins, family 1
PF01313	Bacterial export proteins, family 3
PF12399	Branched-chain amino acid ATP-binding cassette transporter
PF02028	BCCT family transporter
PF03594	Benzoate membrane transport protein
PF00528	Binding-protein-dependent transport system inner membrane component
PF02653	Branched-chain amino acid transport system / permease component
PF05525	Branched-chain amino acid transport protein
PF10104	Di-sulfide bridge nucleocytoplasmic transport domain
PF03596	Cadmium resistance transporter
PF03135	CagE, TrbE, VirB family, component of type IV transporter system
PF00188	Cysteine-rich secretory protein family
PF00689	Cation transporting ATPase, C-terminus
PF00690	Cation transporter/ATPase, N-terminus
PF01545	Cation efflux family
PF01891	Cobalt uptake substrate-specific transmembrane region
PF02553	Cobalt transport protein component CbiN
PF02361	Cobalt transport protein
PF09490	Probable cobalt transporter subunit (CbtA)
PF09489	Probable cobalt transporter subunit (CbtB)
PF04995	Heme exporter protein D (CcmD)
PF11439	Type III secretion system filament chaperone CesA
PF07824	Type III secretion chaperone domain
PF04515	Plasma-membrane choline transporter
PF02417	Chromate transporter
PF09828	Chromate resistance exported protein
PF03600	Citrate transporter
PF08318	COG4 transport protein
