	Node1	Node2
0	PF02355	TIGR01129
1	PF02355	TIGR00966
2	PF02355	TIGR00916
3	TIGR01129	PF02355
4	TIGR01129	TIGR00966
5	TIGR01129	TIGR00916
6	TIGR00966	PF02355
7	TIGR00966	TIGR01129
8	TIGR00966	TIGR00916
9	TIGR00916	PF02355
10	TIGR00916	TIGR01129
11	TIGR00916	TIGR00966
12	COG2871	COG2209
13	COG2209	COG2871
14	TIGR01946	TIGR01945
15	TIGR01945	TIGR01946
16	COG2871	COG2209
17	COG2209	COG2871
18	TIGR01944	TIGR01943
19	TIGR01943	TIGR01944
20	COG0697	PF00892
21	PF00892	COG0697
22	COG1347	COG2209
23	COG2209	COG1347
24	COG0697	PF00892
25	PF00892	COG0697
26	COG1347	COG2209
27	COG2209	COG1347
28	TIGR01944	TIGR01943
29	TIGR01943	TIGR01944
30	PF00528	PF00005
31	PF00528	COG0395
32	PF00528	COG3842
33	PF00005	PF00528
34	PF00005	COG0395
35	PF00005	COG3842
36	COG0395	PF00528
37	COG0395	PF00005
38	COG0395	COG3842
39	COG3842	PF00528
40	COG3842	PF00005
41	COG3842	COG0395
42	COG2156	COG2216
43	COG2156	TIGR00681
44	COG2156	PF02669
45	COG2156	TIGR01497
46	COG2216	COG2156
47	COG2216	TIGR00681
48	COG2216	PF02669
49	COG2216	TIGR01497
50	TIGR00681	COG2156
51	TIGR00681	COG2216
52	TIGR00681	PF02669
53	TIGR00681	TIGR01497
54	PF02669	COG2156
55	PF02669	COG2216
56	PF02669	TIGR00681
57	PF02669	TIGR01497
58	TIGR01497	COG2156
59	TIGR01497	COG2216
60	TIGR01497	TIGR00681
61	TIGR01497	PF02669
62	TIGR01497	COG2216
63	TIGR01497	PF03814
64	TIGR01497	TIGR00680
65	TIGR01497	COG2060
66	COG2216	TIGR01497
67	COG2216	PF03814
68	COG2216	TIGR00680
69	COG2216	COG2060
70	PF03814	TIGR01497
71	PF03814	COG2216
72	PF03814	TIGR00680
73	PF03814	COG2060
74	TIGR00680	TIGR01497
75	TIGR00680	COG2216
76	TIGR00680	PF03814
77	TIGR00680	COG2060
78	COG2060	TIGR01497
79	COG2060	COG2216
80	COG2060	PF03814
81	COG2060	TIGR00680
82	PF00528	TIGR01726
83	TIGR01726	PF00528
84	PF00528	PF00005
85	PF00528	TIGR01726
86	PF00005	PF00528
87	PF00005	TIGR01726
88	TIGR01726	PF00528
89	TIGR01726	PF00005
90	PF00528	COG1175
91	PF00528	COG0395
92	COG1175	PF00528
93	COG1175	COG0395
94	COG0395	PF00528
95	COG0395	COG1175
96	PF00528	PF00005
97	PF00528	COG1175
98	PF00528	COG3842
99	PF00005	PF00528
100	PF00005	COG1175
101	PF00005	COG3842
102	COG1175	PF00528
103	COG1175	PF00005
104	COG1175	COG3842
105	COG3842	PF00528
106	COG3842	PF00005
107	COG3842	COG1175
108	TIGR01944	TIGR01943
109	TIGR01943	TIGR01944
110	PF02355	TIGR01129
111	PF02355	TIGR00966
112	PF02355	TIGR00916
113	TIGR01129	PF02355
114	TIGR01129	TIGR00966
115	TIGR01129	TIGR00916
116	TIGR00966	PF02355
117	TIGR00966	TIGR01129
118	TIGR00966	TIGR00916
119	TIGR00916	PF02355
120	TIGR00916	TIGR01129
121	TIGR00916	TIGR00966
122	TIGR01948	TIGR01947
123	TIGR01947	TIGR01948
124	TIGR01946	TIGR01948
125	TIGR01948	TIGR01946
126	TIGR01946	TIGR01947
127	TIGR01947	TIGR01946
128	TIGR01944	TIGR01943
129	TIGR01943	TIGR01944
130	TIGR01944	TIGR01943
131	TIGR01943	TIGR01944
132	PF00005	COG1117
133	PF00005	TIGR00972
134	COG1117	PF00005
135	COG1117	TIGR00972
136	TIGR00972	PF00005
137	TIGR00972	COG1117
138	PF01313	PF01311
139	PF01311	PF01313
140	PF00005	TIGR03730
141	PF00005	COG0725
142	PF00005	COG3839
143	TIGR03730	PF00005
144	TIGR03730	COG0725
145	TIGR03730	COG3839
146	COG0725	PF00005
147	COG0725	TIGR03730
148	COG0725	COG3839
149	COG3839	PF00005
150	COG3839	TIGR03730
151	COG3839	COG0725
152	PF00005	COG0411
153	PF00005	COG0410
154	COG0411	PF00005
155	COG0411	COG0410
156	COG0410	PF00005
157	COG0410	COG0411
158	PF00005	TIGR02135
159	PF00005	COG1117
160	PF00005	COG0704
161	PF00005	TIGR00972
162	TIGR02135	PF00005
163	TIGR02135	COG1117
164	TIGR02135	COG0704
165	TIGR02135	TIGR00972
166	COG1117	PF00005
167	COG1117	TIGR02135
168	COG1117	COG0704
169	COG1117	TIGR00972
170	COG0704	PF00005
171	COG0704	TIGR02135
172	COG0704	COG1117
173	COG0704	TIGR00972
174	TIGR00972	PF00005
175	TIGR00972	TIGR02135
176	TIGR00972	COG1117
177	TIGR00972	COG0704
178	COG0306	PF01384
179	PF01384	COG0306
180	TIGR01165	COG1930
181	TIGR01165	TIGR01166
182	TIGR01165	PF00005
183	TIGR01165	PF02553
184	TIGR01165	COG1122
185	COG1930	TIGR01165
186	COG1930	TIGR01166
187	COG1930	PF00005
188	COG1930	PF02553
189	COG1930	COG1122
190	TIGR01166	TIGR01165
191	TIGR01166	COG1930
192	TIGR01166	PF00005
193	TIGR01166	PF02553
194	TIGR01166	COG1122
195	PF00005	TIGR01165
196	PF00005	COG1930
197	PF00005	TIGR01166
198	PF00005	PF02553
199	PF00005	COG1122
200	PF02553	TIGR01165
201	PF02553	COG1930
202	PF02553	TIGR01166
203	PF02553	PF00005
204	PF02553	COG1122
205	COG1122	TIGR01165
206	COG1122	COG1930
207	COG1122	TIGR01166
208	COG1122	PF00005
209	COG1122	PF02553
210	COG0310	TIGR01165
211	COG0310	PF01891
212	COG0310	PF02553
213	COG0310	COG1930
214	TIGR01165	COG0310
215	TIGR01165	PF01891
216	TIGR01165	PF02553
217	TIGR01165	COG1930
218	PF01891	COG0310
219	PF01891	TIGR01165
220	PF01891	PF02553
221	PF01891	COG1930
222	PF02553	COG0310
223	PF02553	TIGR01165
224	PF02553	PF01891
225	PF02553	COG1930
226	COG1930	COG0310
227	COG1930	TIGR01165
228	COG1930	PF01891
229	COG1930	PF02553
230	PF00528	PF00005
231	PF00528	COG0555
232	PF00528	COG3839
233	PF00005	PF00528
234	PF00005	COG0555
235	PF00005	COG3839
236	COG0555	PF00528
237	COG0555	PF00005
238	COG0555	COG3839
239	COG3839	PF00528
240	COG3839	PF00005
241	COG3839	COG0555
242	COG0310	PF00005
243	COG0310	PF01891
244	COG0310	COG1122
245	PF00005	COG0310
246	PF00005	PF01891
247	PF00005	COG1122
248	PF01891	COG0310
249	PF01891	PF00005
250	PF01891	COG1122
251	COG1122	COG0310
252	COG1122	PF00005
253	COG1122	PF01891
254	PF00528	COG0555
255	PF00528	COG0725
256	PF00528	TIGR03730
257	COG0555	PF00528
258	COG0555	COG0725
259	COG0555	TIGR03730
260	COG0725	PF00528
261	COG0725	COG0555
262	COG0725	TIGR03730
263	TIGR03730	PF00528
264	TIGR03730	COG0555
265	TIGR03730	COG0725
266	PF00005	COG0842
267	PF00005	PF01061
268	PF00005	TIGR01291
269	PF00005	COG1131
270	COG0842	PF00005
271	COG0842	PF01061
272	COG0842	TIGR01291
273	COG0842	COG1131
274	PF01061	PF00005
275	PF01061	COG0842
276	PF01061	TIGR01291
277	PF01061	COG1131
278	TIGR01291	PF00005
279	TIGR01291	COG0842
280	TIGR01291	PF01061
281	TIGR01291	COG1131
282	COG1131	PF00005
283	COG1131	COG0842
284	COG1131	PF01061
285	COG1131	TIGR01291
286	PF00005	COG1129
287	PF00005	PF05025
288	COG1129	PF00005
289	COG1129	PF05025
290	PF05025	PF00005
291	PF05025	COG1129
292	PF00005	TIGR04520
293	PF00005	TIGR04521
