COG0003	Anion-transporting ATPase, ArsA/GET3 family
COG0004	Ammonia channel protein AmtB
COG0025	NhaP-type Na+/H+ or K+/H+ antiporter
COG0038	H+/Cl- antiporter ClcA
COG0053	Divalent metal cation (Fe/Co/Zn/Cd) transporter
COG0084	Tat protein secretion system quality control protein TatD (DNase activity)
COG0168	Trk-type K+ transport system, membrane component
COG0226	ABC-type phosphate transport system, periplasmic component
COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation
COG0306	Phosphate/sulfate permease
COG0310	ABC-type Co2+ transport system, permease component
COG0370	Fe2+ transport system protein B
COG0385	Predicted Na+-dependent transporter
COG0387	Ca2+/H+ antiporter
COG0390	ABC-type iron transport system FetAB, permease component
COG0395	ABC-type glycerol-3-phosphate transport system, permease component
COG0410	ABC-type branched-chain amino acid transport system, ATPase component
COG0411	ABC-type branched-chain amino acid transport system, ATPase component
COG0428	Zinc transporter ZupT
COG0444	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
COG0471	Di- and tricarboxylate transporter
COG0472	UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase
COG0474	Magnesium-transporting ATPase (P-type)
COG0475	Kef-type K+ transport system, membrane component KefB
COG0477	MFS family permease
COG0488	ATPase components of ABC transporters with duplicated ATPase domains
COG0490	K+/H+ antiporter YhaU, regulatory subunit KhtT
COG0530	Ca2+/Na+ antiporter
COG0531	Amino acid transporter
COG0534	Na+-driven multidrug efflux pump
COG0555	ABC-type sulfate transport system, permease component
COG0559	Branched-chain amino acid ABC-type transport system, permease component
COG0569	Trk K+ transport system, NAD-binding component
COG0573	ABC-type phosphate transport system, permease component
COG0577	ABC-type antimicrobial peptide transport system, permease component
COG0580	Glycerol uptake facilitator and related aquaporins (Major Intrinsic Protein Family)
COG0581	ABC-type phosphate transport system, permease component
COG0591	Na+/proline symporter
COG0598	Mg2+ and Co2+ transporter CorA
COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component
COG0609	ABC-type Fe3+-siderophore transport system, permease component
COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component
COG0619	Energy-coupling factor transporter transmembrane protein EcfT
COG0628	Predicted PurR-regulated permease PerM
COG0630	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase
COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
COG0659	Sulfate permease or related transporter, MFS superfamily
COG0668	Small-conductance mechanosensitive channel
COG0672	High-affinity Fe2+/Pb2+ permease
COG0679	Predicted permease
COG0683	ABC-type branched-chain amino acid transport system, periplasmic component
COG0697	Permease of the drug/metabolite transporter (DMT) superfamily
COG0704	Phosphate uptake regulator
COG0715	ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component
COG0725	ABC-type molybdate transport system, periplasmic component
COG0733	Na+-dependent transporter, SNF family
COG0735	Fe2+ or Zn2+ uptake regulation protein
COG0738	Fucose permease
COG0747	ABC-type transport system, periplasmic component
COG0755	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG0758	Predicted Rossmann fold nucleotide-binding protein DprA/Smf involved in DNA uptake
COG0765	ABC-type amino acid transport system, permease component
COG0767	ABC-type transporter Mla maintaining outer membrane lipid asymmetry, permease component MlaE
COG0786	Na+/glutamate symporter
COG0795	Lipopolysaccharide export LptBFGC system, permease protein LptF
COG0798	Arsenite efflux pump ArsB, ACR3 family
COG0803	ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA
COG0805	Sec-independent protein secretion pathway component TatC
COG0810	Periplasmic protein TonB, links inner and outer membranes
COG0811	Biopolymer transport protein ExbB/TolQ
COG0814	Amino acid permease
COG0823	Periplasmic component of the Tol biopolymer transport system
COG0833	Amino acid permease
COG0834	ABC-type amino acid transport/signal transduction system, periplasmic component/domain
COG0841	Multidrug efflux pump subunit AcrB
COG0842	ABC-type multidrug transport system, permease component
COG0845	Multidrug efflux pump subunit AcrA (membrane-fusion protein)
COG0848	Biopolymer transport protein ExbD
COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit
COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
COG1033	Predicted exporter protein, RND superfamily
COG1055	Na+/H+ antiporter NhaD or related arsenite permease
COG1079	ABC-type uncharacterized transport system, permease component
COG1101	ABC-type uncharacterized transport system, ATPase component
COG1108	ABC-type Mn2+/Zn2+ transport system, permease component
COG1113	L-asparagine transporter and related permeases
COG1114	Branched-chain amino acid permeases
COG1115	Na+/alanine symporter
COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
COG1117	ABC-type phosphate transport system, ATPase component
COG1118	ABC-type sulfate/molybdate transport systems, ATPase component
COG1119	ABC-type molybdenum transport system, ATPase component/photorepair protein PhrA
COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component
COG1121	ABC-type Mn2+/Zn2+ transport system, ATPase component
COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
