TransporterGroup	Family	Description
T399	PF08314	Secretory pathway protein Sec39
T390	COG1079	Uncharacterized ABC-type transport system, permease component
T391	TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
T391	COG2211	Na+/melibiose symporter and related transporters
T392	PF05742	Transport and Golgi organisation 2
T393	PF07321	Type III secretion protein YscO
T394	PF16326	ABC transporter C-terminal domain
T394	COG0488	ATPase components of ABC transporters with duplicated ATPase domains
T395	COG4555	ABC-type Na+ transport system, ATPase component
T396	TIGR04259	oxa_formateAnti: oxalate/formate antiporter
T397	TIGR00958	3a01208: antigen peptide transporter 2
T72	PF11728	Putative aromatic acid exporter C-terminal domain
T72	PF06081	Aromatic acid exporter family member 1
T73	TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein
T73	COG1275	Tellurite resistance protein and related permeases
T70	PF00916	Sulfate permease family
T70	TIGR00815	sulP: sulfate permease
T70	COG0659	Sulfate permease and related transporters (MFS superfamily)
T71	TIGR02769	nickel_nikE: nickel import ATP-binding protein NikE
T71	COG1124	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
T76	PF12621	Extracellular tail, of 10TM putative phosphate transporter
T76	PF14703	Cytosolic domain of 10TM putative phosphate transporter
T77	PF00892	EamA-like transporter family
T77	TIGR00950	2A78: carboxylate/amino acid/amine transporter
T77	COG0697	Permeases of the drug/metabolite transporter (DMT) superfamily
T77	COG2962	Predicted permeases
T77	COG5006	Predicted permease, DMT superfamily
T74	PF14931	Intraflagellar transport complex B, subunit 20
T75	PF00860	Permease family
T75	TIGR03173	pbuX: xanthine permease
T75	TIGR03616	RutG: pyrimidine utilization transport protein G
T75	COG2233	Xanthine/uracil permeases
T75	COG2252	Permeases
T78	PF02652	L-lactate permease
T78	TIGR00795	lctP: transporter, lactate permease (LctP) family
T78	COG1620	L-lactate permease
T79	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
T365	PF10032	Phosphate transport (Pho88)
