TCluster	Family	Description
T152	TIGR01713	typeII_sec_gspC: type II secretion system protein C
T152	COG3031	Type II secretory pathway, component PulC
T153	TIGR02121	Na_Pro_sym: sodium/proline symporter
T150	PF09515	Thiamine transporter protein (Thia_YuaJ)
T150	TIGR02357	ECF_ThiT_YuaJ: energy-coupled thiamine transporter ThiT
T151	COG0609	ABC-type Fe3+-siderophore transport system, permease component
T156	PF10634	Fe2+ transport protein
T156	COG3470	Uncharacterized protein probably involved in high-affinity Fe2+ transport
T157	PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family
T157	COG1859	RNA:NAD 2'-phosphotransferase
T154	PF02028	BCCT family transporter
T154	TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
T154	COG1292	Choline-glycine betaine transporter
T155	PF00217	ATP:guanido phosphotransferase, C-terminal catalytic domain
T155	PF02807	ATP:guanido phosphotransferase, N-terminal domain
T54	TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein
T54	COG1275	Tellurite resistance protein and related permeases
T158	PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)
T158	TIGR02508	type_III_yscG: type III secretion protein, YscG family
T159	TIGR02633	xylG: D-xylose ABC transporter, ATP-binding protein
T159	COG1129	ABC-type sugar transport system, ATPase component
T55	TIGR03173	pbuX: xanthine permease
T55	TIGR03616	RutG: pyrimidine utilization transport protein G
T72	COG1174	ABC-type proline/glycine betaine transport systems, permease component
T73	TIGR03255	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV
T73	COG1177	ABC-type spermidine/putrescine transport system, permease component II
T70	PF01490	Transmembrane amino acid transporter protein
T70	PF03222	Tryptophan/tyrosine permease family
T70	TIGR00814	stp: serine transporter
T70	TIGR00837	araaP: aromatic amino acid transport protein
T71	PF03349	Outer membrane protein transport protein (OMPP1/FadL/TodX)
T71	COG2067	Long-chain fatty acid transport protein
T76	TIGR02790	nickel_nikC: nickel ABC transporter, permease subunit NikC
T77	COG1172	Ribose/xylose/arabinose/galactoside ABC-type transport systems, permease components
T74	COG1176	ABC-type spermidine/putrescine transport system, permease component I
T75	PF11612	Type II secretion system (T2SS), protein J
T75	TIGR01711	gspJ: type II secretion system protein J
T75	COG4795	Type II secretory pathway, component PulJ
T78	TIGR00439	ftsX: putative protein insertion permease FtsX
T79	TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
T79	COG1178	ABC-type Fe3+ transport system, permease component
T199	PF02563	Polysaccharide biosynthesis/export protein
T199	COG1596	Periplasmic protein involved in polysaccharide export
T248	COG3845	ABC-type uncharacterized transport systems, ATPase components
T249	TIGR00944	2a6301s04: multicomponent K+:H+antiporter
T249	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
T246	TIGR01197	nramp: metal ion transporter, metal ion (Mn2+/Fe2+) transporter (Nramp) family
T246	COG1914	Mn2+ and Fe2+ transporters of the NRAMP family
T247	PF03390	2-hydroxycarboxylate transporter family
T247	COG3493	Na+/citrate symporter
T244	TIGR02315	ABC_phnC: phosphonate ABC transporter, ATP-binding protein
T244	COG3638	ABC-type phosphate/phosphonate transport system, ATPase component
T245	PF03594	Benzoate membrane transport protein
T245	TIGR00843	benE: benzoate transporter
T242	TIGR02141	modB_ABC: molybdate ABC transporter, permease protein
T242	COG4149	ABC-type molybdate transport system, permease component
