Tr0			TIGR01728	
Tr1		PF04612|PF05134	TIGR01709	COG3149|COG3297
Tr10		PF02652	TIGR00795	COG1620
Tr100		PF05662|PF05658		
Tr101		PF03253		COG4413
Tr102		PF03886		
Tr103			TIGR00948	COG1279
Tr104		PF03547	TIGR00946	COG0679
Tr105				COG0411|COG0410
Tr106				COG2072
Tr107		PF01970		
Tr108		PF08817	TIGR03920	
Tr109				COG4215|COG4161|COG4598|COG4160
Tr11		PF14931		
Tr110		PF17099		
Tr111				COG4152
Tr112			TIGR01000|TIGR01193|TIGR01846	COG2274
Tr113		PF13593|PF01758	TIGR00841	COG0385|COG0798
Tr114		PF11124		
Tr115		PF00482|PF12019|PF05157|PF00437|PF08334|PF02501	TIGR02120|TIGR01708|TIGR02533|TIGR03819|TIGR01710|TIGR01707	COG1459|COG0630|COG2804|COG2165
Tr116		PF02659		
Tr117		PF10636		COG4256
Tr118		PF02472	TIGR02797|TIGR02805|TIGR02803|TIGR02804	COG0811|COG0848
Tr119		PF17112		
Tr12		PF00860	TIGR03173|TIGR03616|TIGR00801	COG2252|COG2233
Tr120			TIGR01842|TIGR01843	COG4618
Tr121			TIGR01194	COG4615
Tr122		PF09075		
Tr123m			TIGR02138|TIGR00974|TIGR00975	COG0573|COG0581|COG0226
Tr124				COG0475
Tr125			TIGR00924|TIGR00926	COG3104
Tr126				COG3839
Tr127		PF04515		
Tr128		PF16860		
Tr129		PF06610		
Tr13		PF09604	TIGR02115	
Tr130		PF07664|PF02421	TIGR00437	COG1918|COG0370
Tr131		PF11093		
Tr132				COG1445|COG3925|COG1299
Tr133			TIGR00949	COG1280
Tr134		PF15048		
Tr135		PF07331		
Tr136		PF03594	TIGR00843	
Tr137			TIGR01197	COG1914
Tr138		PF03390		COG3493
Tr139		PF14510|PF08370|PF06422|PF05975	TIGR00025|TIGR01188|TIGR01291|TIGR01288|TIGR03740|TIGR01257|TIGR00955	COG0842|COG1131|COG1277|COG4473
Tr14		PF02447	TIGR00791	COG2610
Tr140			TIGR03929	
Tr141		PF04281	TIGR00986	
Tr142			TIGR01186	COG1125|COG4175|COG4176
Tr143		PF03137	TIGR00805	
Tr144		PF03821	TIGR00799	
Tr145		PF10614		
Tr146		PF01773|PF07662	TIGR00804	COG1972
Tr147		PF03611|PF00359		COG2213|COG3775|COG1762|COG4668
Tr148		PF02563		COG1596
Tr149		PF05108	TIGR03919	
Tr15		PF10661	TIGR03927	
Tr150		PF00361|PF04039	TIGR00941|TIGR00943|TIGR00940|TIGR00944	COG1006|COG1009|COG2111|COG0651
Tr151			TIGR00881|TIGR00712	COG2271
Tr152				COG0765|COG4597|COG1126
Tr153		PF12317		
Tr154		PF06450	TIGR00774	COG3067
Tr155			TIGR03925|TIGR03924	
Tr156		PF00939	TIGR00785	COG0471
Tr157		PF07672		
Tr158		PF03616	TIGR00210	COG0786
Tr159			TIGR01254|TIGR01276|TIGR01277|TIGR01253	COG4143|COG3840|COG1178
Tr16			TIGR00890|TIGR04259	
Tr160			TIGR01404	COG4792
Tr161		PF16940		
Tr162				COG5571
Tr163		PF03934|PF11612	TIGR01711	COG3156|COG4795
Tr164		PF03977	TIGR03136	COG1883
Tr165		PF02687	TIGR00439	COG4181|COG0577|COG3127|COG1136|COG4591
Tr166		PF03083		
Tr167		PF03334|PF01899	TIGR01300|TIGR00942	COG1320|COG1863
Tr168			TIGR03648|TIGR02711	COG4147
Tr169			TIGR02122	COG2358
Tr17		PF06965	TIGR00773	COG3004
Tr170				COG4177
Tr171		PF06472	TIGR00954	COG4178
Tr172		PF03364		COG2867
Tr174		PF02133	TIGR00800	COG1953|COG1457
Tr175			TIGR01295	
Tr176			TIGR03226|TIGR00968|TIGR02139|TIGR00969|TIGR02140|TIGR00971	COG0555|COG1118|COG4208|COG4150|COG1613
Tr177		PF13722		
Tr178		PF08318		
Tr179				COG0559
Tr18		PF09930|PF03824	TIGR00802	COG2215|COG3376
Tr180		PF09783		COG5073
Tr181		PF12951	TIGR02601	COG3468
Tr182		PF10599		
Tr183			TIGR02567	
Tr184		PF16954		
Tr185		PF10032		
Tr186		PF00188		
Tr187			TIGR04183	
Tr188		PF10634		COG3470
Tr189		PF04290|PF03480|PF06808	TIGR00787|TIGR00786	COG3090|COG1638|COG4663|COG1593
Tr19				COG4555
Tr190		PF09828|PF02417	TIGR00937	COG2059
Tr191			TIGR04033	
Tr192		PF00892|PF04142	TIGR00950|TIGR00803	COG5070|COG0697|COG2962|COG5006
Tr193		PF06979		
Tr194		PF09483	TIGR02557	
Tr195			TIGR00892	
Tr196		PF03151		
Tr197		PF07660|PF00263|PF03958	TIGR02517|TIGR02516	COG4796|COG1450
Tr198			TIGR03022|TIGR03023|TIGR03025	
Tr199		PF00520|PF08412|PF06512	TIGR00932	COG4651|COG1226
Tr2		PF05025|PF06379|PF06800	TIGR02634|TIGR00776|TIGR01272|TIGR00885|TIGR02633	COG4214|COG4213|COG1869|COG4975|COG0738|COG4211|COG1129|COG1172
