TransporterGroup	Family	Description
Tr235	PF00916	Sulfate permease family
Tr235	TIGR00815	sulP: sulfate permease
Tr235	COG0659	Sulfate permease and related transporters (MFS superfamily)
Tr236	PF15305	Intraflagellar transport protein 43
Tr237	TIGR01301	GPH_sucrose: sucrose/H+ symporter
Tr230	TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein
Tr230	COG1275	Tellurite resistance protein and related permeases
Tr231	PF11728	Putative aromatic acid exporter C-terminal domain
Tr231	PF06081	Aromatic acid exporter family member 1
Tr232	PF01306	LacY proton/sugar symporter
Tr232	TIGR00902	2A0127: MFS transporter, phenyl propionate permease (PPP) family
Tr232	TIGR00882	2A0105: oligosaccharide:H+ symporter
Tr233	PF03239	Iron permease FTR1 family
Tr233	COG0672	High-affinity Fe2+/Pb2+ permease
Tr238	TIGR00907	2A0304: amino acid permease
Tr239	PF00083	Sugar (and other) transporter
Tr239	PF08946	Osmosensory transporter coiled coil
Tr239	PF13000	Acetyl-coenzyme A transporter 1
Tr239	TIGR00887	2A0109: phosphate:H+ symporter
Tr239	TIGR00883	2A0106: MFS transporter, metabolite:H+ symporter (MHS) family protein
Tr239	TIGR00898	2A0119: cation transport protein
Tr239	TIGR00901	2A0125: AmpG-like permease
Tr239	TIGR00879	SP: MFS transporter, sugar porter (SP) family
Tr239	TIGR00895	2A0115: MFS transporter, aromatic acid:H+ symporter (AAHS) family
Tr239	TIGR00897	2A0118: polyol permease
Tr239	COG0477	Permeases of the major facilitator superfamily
Tr200	TIGR04406	LPS_export_lptB: LPS export ABC transporter ATP-binding protein
Tr200	COG1137	ABC-type (unclassified) transport system, ATPase component
Tr9	PF12621	Extracellular tail, of 10TM putative phosphate transporter
Tr9	PF14703	Cytosolic domain of 10TM putative phosphate transporter
Tr8	PF04888	Secretion system effector C (SseC) like family
Tr128	PF16860	CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,
Tr129	PF06610	L-alanine exporter
Tr124	COG0475	Kef-type K+ transport systems, membrane components
Tr125	TIGR00924	yjdL_sub1_fam: amino acid/peptide transporter (Peptide:H+ symporter)
Tr125	TIGR00926	2A1704: oligopeptide transporter, peptide:H+ symporter
Tr125	COG3104	Dipeptide/tripeptide permease
Tr126	COG3839	ABC-type sugar transport systems, ATPase components
Tr127	PF04515	Plasma-membrane choline transporter
Tr120	TIGR01842	type_I_sec_PrtD: type I secretion system ATPase
Tr120	TIGR01843	type_I_hlyD: type I secretion membrane fusion protein, HlyD family
Tr120	COG4618	ABC-type protease/lipase transport system, ATPase and permease components
Tr121	TIGR01194	cyc_pep_trnsptr: cyclic peptide transporter
Tr121	COG4615	ABC-type siderophore export system, fused ATPase and permease components
Tr122	PF09075	Heat-stable enterotoxin B, secretory
Tr123	TIGR02138	phosphate_pstC: phosphate ABC transporter, permease protein PstC
Tr123	TIGR00975	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
Tr123	COG0573	ABC-type phosphate transport system, permease component
Tr123	COG0226	ABC-type phosphate transport system, periplasmic component
Tr59	PF04069	Substrate binding domain of ABC-type glycine betaine transport system
Tr59	COG1174	ABC-type proline/glycine betaine transport systems, permease component
Tr59	COG1732	Periplasmic glycine betaine/choline-binding (lipo)protein of an ABC-type transport system (osmoprotectant binding protein)
Tr59	COG2113	ABC-type proline/glycine betaine transport systems, periplasmic components
Tr58	TIGR03255	PhnV: 2-aminoethylphosphonate ABC transport system, membrane component PhnV
Tr58	COG1177	ABC-type spermidine/putrescine transport system, permease component II
Tr51	PF01636	Phosphotransferase enzyme family
Tr51	COG3173	Predicted aminoglycoside phosphotransferase
Tr51	COG3231	Aminoglycoside phosphotransferase
Tr50	PF01769	Divalent cation transporter
Tr50	TIGR00400	mgtE: magnesium transporter
Tr50	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)
Tr53	PF01384	Phosphate transporter family
Tr53	COG0306	Phosphate/sulphate permeases
Tr52	PF01032	FecCD transport family
Tr52	TIGR03659	IsdE: heme ABC transporter, heme-binding protein isdE
Tr52	TIGR04281	peripla_PGF_1: putative ABC transporter PGF-CTERM-modified substrate-binding protein
Tr52	COG1120	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
Tr52	COG4138	ABC-type cobalamin transport system, ATPase component
Tr52	COG4604	ABC-type enterochelin transport system, ATPase component
Tr52	COG4779	ABC-type enterobactin transport system, permease component
Tr52	COG4605	ABC-type enterochelin transport system, permease component
Tr52	COG4606	ABC-type enterochelin transport system, permease component
Tr52	COG4139	ABC-type cobalamin transport system, permease component
Tr52	COG0609	ABC-type Fe3+-siderophore transport system, permease component
Tr52	COG4559	ABC-type hemin transport system, ATPase component
Tr52	COG0614	ABC-type Fe3+-hydroxamate transport system, periplasmic component
Tr55	PF12911	N-terminal TM domain of oligopeptide transport permease C
Tr55	PF12793	Sugar transport-related sRNA regulator N-term
Tr55	PF00496	Bacterial extracellular solute-binding proteins, family 5 Middle
Tr55	TIGR02790	nickel_nikC: nickel ABC transporter, permease subunit NikC
Tr55	TIGR02294	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
Tr55	COG4174	ABC-type uncharacterized transport system, permease component
Tr55	COG4172	ABC-type uncharacterized transport system, duplicated ATPase component
Tr55	COG1123	ATPase components of various ABC-type transport systems, contain duplicated ATPase
Tr55	COG4239	ABC-type uncharacterized transport system, permease component
Tr55	COG4171	ABC-type antimicrobial peptide transport system, permease component
Tr55	COG1173	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
Tr55	COG4166	ABC-type oligopeptide transport system, periplasmic component
Tr55	COG4533	ABC-type uncharacterized transport system, periplasmic component
Tr55	COG0747	ABC-type dipeptide transport system, periplasmic component
Tr54	PF04143	Sulphur transport
Tr54	PF01925	Sulfite exporter TauE/SafE
Tr54	COG2391	Predicted transporter component
Tr54	COG0730	Predicted permeases
Tr57	TIGR03227	PhnS: 2-aminoethylphosphonate ABC transporter, 2-aminoethylphosphonate binding protein
Tr57	TIGR03258	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
Tr57	TIGR03265	PhnT2: putative 2-aminoethylphosphonate ABC transporter, ATP-binding protein
Tr57	TIGR01187	potA: polyamine ABC transporter, ATP-binding protein
Tr57	COG1840	ABC-type Fe3+ transport system, periplasmic component
Tr57	COG3842	ABC-type spermidine/putrescine transport systems, ATPase components
Tr57	COG1176	ABC-type spermidine/putrescine transport system, permease component I
Tr56	TIGR02141	modB_ABC: molybdate ABC transporter, permease protein
Tr56	TIGR02142	modC_ABC: molybdate ABC transporter, ATP-binding protein
Tr56	COG4149	ABC-type molybdate transport system, permease component
Tr56	COG4148	ABC-type molybdate transport system, ATPase component
Tr168	TIGR03648	Na_symport_lg: probable sodium:solute symporter, VC_2705 subfamily
Tr168	TIGR02711	symport_actP: cation/acetate symporter ActP
Tr168	COG4147	Predicted symporter
Tr169	TIGR02122	TRAP_TAXI: TRAP transporter solute receptor, TAXI family
Tr169	COG2358	TRAP-type uncharacterized transport system, periplasmic component
Tr278	PF03773	Predicted permease
Tr278	COG0701	Predicted permeases
Tr241	PF08626	Transport protein Trs120 or TRAPPC9, TRAPP II complex subunit
Tr240	PF06646	High affinity transport system protein p37
Tr243	PF03219	TLC ATP/ADP transporter
Tr242	PF13103	TonB C terminal
Tr242	PF03544	Gram-negative bacterial TonB protein C-terminal
Tr242	TIGR01352	tonB_Cterm: TonB family C-terminal domain
Tr242	COG0810	Periplasmic protein TonB, links inner and outer membranes
Tr245	PF10412	Type IV secretion-system coupling protein DNA-binding domain
Tr244	PF11262	Transcription factor/nuclear export subunit protein 2
Tr244	PF11732	Transcription- and export-related complex subunit
Tr247	PF11700	Vacuole effluxer Atg22 like
Tr247	COG2270	Permeases of the major facilitator superfamily
Tr246	PF10604	Polyketide cyclase / dehydrase and lipid transport
Tr249	PF08988	Type III secretion system, cytoplasmic E component of needle
Tr249	TIGR02501	type_III_yscE: type III secretion system protein, YseE family
Tr248	PF01544	CorA-like Mg2+ transporter protein
Tr248	TIGR00383	corA: magnesium and cobalt transport protein CorA
Tr248	COG0598	Mg2+ and Co2+ transporters
Tr291	TIGR00893	2A0114: D-galactonate transporter
Tr287	PF01885	RNA 2'-phosphotransferase, Tpt1 / KptA family
Tr287	COG1859	RNA:NAD 2'-phosphotransferase
Tr159	TIGR01254	sfuA: ABC transporter periplasmic binding protein, thiB subfamily
Tr159	TIGR01276	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein
Tr159	TIGR01277	thiQ: thiamine ABC transporter, ATP-binding protein
Tr159	TIGR01253	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
Tr159	COG4143	ABC-type thiamine transport system, periplasmic component
Tr159	COG3840	ABC-type thiamine transport system, ATPase component
Tr159	COG1178	ABC-type Fe3+ transport system, permease component
Tr158	PF03616	Sodium/glutamate symporter
Tr158	TIGR00210	gltS: sodium/glutamate symporter
Tr158	COG0786	Na+/glutamate symporter
Tr286	PF10337	Putative ER transporter, 6TM, N-terminal
Tr286	PF10334	Aromatic acid exporter family member 2
Tr96	PF02028	BCCT, betaine/carnitine/choline family transporter
Tr96	TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
Tr96	COG1292	Choline-glycine betaine transporter
Tr151	TIGR00881	2A0104: phosphoglycerate transporter family protein
Tr151	TIGR00712	glpT: glycerol-3-phosphate transporter
Tr151	COG2271	Sugar phosphate permease
Tr150	PF00361	Proton-conducting membrane transporter
Tr150	PF04039	Domain related to MnhB subunit of Na+/H+ antiporter
Tr150	TIGR00941	2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit
Tr150	TIGR00943	2a6301s02: monovalent cation:proton antiporter
Tr150	TIGR00940	2a6301s01: monovalent cation:proton antiporter
Tr150	TIGR00944	2a6301s04: multicomponent K+:H+antiporter
Tr150	COG1006	Multisubunit Na+/H+ antiporter, MnhC subunit
Tr150	COG1009	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
Tr150	COG2111	Multisubunit Na+/H+ antiporter, MnhB subunit
Tr150	COG0651	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
Tr153	PF12317	Intraflagellar transport complex B protein 46 C terminal
Tr152	COG0765	ABC-type amino acid transport system, permease component
Tr152	COG4597	ABC-type amino acid transport system, permease component
Tr152	COG1126	ABC-type polar amino acid transport system, ATPase component
Tr155	TIGR03925	T7SS_EccC_b: type VII secretion protein EccCb
Tr155	TIGR03924	T7SS_EccC_a: type VII secretion protein EccCa
Tr154	PF06450	Bacterial Na+/H+ antiporter B (NhaB)
Tr154	TIGR00774	NhaB: Na+/H+ antiporter NhaB
Tr154	COG3067	Na+/H+ antiporter
Tr157	PF07672	Mycoplasma MFS transporter
Tr156	PF00939	Sodium:sulfate symporter transmembrane region
Tr156	TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family
Tr156	COG0471	Di- and tricarboxylate transporters
Tr283	TIGR04056	OMP_RagA_SusC: TonB-linked outer membrane protein, SusC/RagA family
Tr283	TIGR04057	SusC_RagA_signa: TonB-dependent outer membrane receptor, SusC/RagA subfamily, signature region
Tr284	PF07931	Chloramphenicol phosphotransferase-like protein
Tr284	COG3896	Chloramphenicol 3-O-phosphotransferase
Tr299	TIGR01192	chvA: glucan exporter ATP-binding protein
Tr299	TIGR02203	MsbA_lipidA: lipid A export permease/ATP-binding protein MsbA
Tr299	TIGR00958	3a01208: antigen peptide transporter 2
Tr299	COG1132	ABC-type multidrug transport system, ATPase and permease components
Tr282	PF10104	Di-sulfide bridge nucleocytoplasmic transport domain
Tr28	COG1463	ABC-type transport system involved in resistance to organic solvents, periplasmic component
Tr29	TIGR00797	matE: MATE efflux family protein
Tr29	COG0534	Na+-driven multidrug efflux pump
Tr24	COG3845	ABC-type uncharacterized transport systems, ATPase components
Tr24	COG1079	Uncharacterized ABC-type transport system, permease component
Tr24	COG4603	ABC-type uncharacterized transport system, permease component
Tr25	PF01298	Transferrin binding protein-like solute binding protein
Tr25	TIGR01776	TonB-tbp-lbp: TonB-dependent lactoferrin and transferrin receptors
Tr25	TIGR01779	TonB-B12: TonB-dependent vitamin B12 receptor
Tr25	TIGR01786	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein
Tr25	TIGR01785	TonB-hemin: TonB-dependent heme/hemoglobin receptor family protein
Tr25	TIGR01783	TonB-siderophor: TonB-dependent siderophore receptor
Tr25	COG1629	Outer membrane receptor proteins, mostly Fe transport
Tr26	PF07155	ECF-type riboflavin transporter, S component
Tr26	PF00375	Sodium:dicarboxylate symporter family
Tr26	PF12558	ATP-binding cassette cobalt transporter
Tr26	PF02361	Cobalt transport protein
Tr26	PF02553	Cobalt transport protein component CbiN
Tr26	TIGR04520	ECF_ATPase_1: energy-coupling factor transporter ATPase
Tr26	TIGR01166	cbiO: cobalt ABC transporter, ATP-binding protein
Tr26	TIGR04521	ECF_ATPase_2: energy-coupling factor transporter ATPase
Tr26	TIGR02454	ECF_T_CbiQ: cobalt ECF transporter T component CbiQ
Tr26	TIGR01165	cbiN: cobalt transport protein
Tr26	COG1823	Predicted Na+/dicarboxylate symporter
Tr26	COG3633	Na+/serine symporter
Tr26	COG1301	Na+/H+-dicarboxylate symporters
Tr26	COG1122	ABC-type cobalt transport system, ATPase component
Tr26	COG0619	ABC-type cobalt transport system, permease component CbiQ and related transporters
Tr26	COG1930	ABC-type cobalt transport system, periplasmic component
Tr27	PF01514	Secretory protein of YscJ/FliF family
Tr27	PF09482	Bacterial type III secretion apparatus protein (OrgA_MxiK)
Tr27	PF09392	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
Tr27	PF09480	Type III secretion system protein PrgH-EprH (PrgH)
Tr27	PF09477	Bacterial type II secretion system chaperone protein (type_III_yscG)
Tr27	PF17001	Type III secretion basal body protein I, YscI, HrpB, PscI
Tr27	TIGR02544	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
Tr27	TIGR02555	OrgA_MxiK: type III secretion apparatus protein OrgA/MxiK
Tr27	TIGR02105	III_needle: type III secretion apparatus needle protein
Tr27	TIGR02554	PrgH: type III secretion apparatus protein PrgH/EprH
Tr27	TIGR02508	type_III_yscG: type III secretion protein, YscG family
Tr27	TIGR02497	yscI_hrpB_dom: type III secretion apparatus protein, YscI/HrpB, C-terminal domain
Tr27	COG1766	Flagellar biosynthesis/type III secretory pathway lipoprotein
Tr27	COG4669	Type III secretory pathway, lipoprotein EscJ
Tr20	PF16326	ABC transporter C-terminal domain
Tr20	PF00324	Amino acid permease
Tr20	PF08403	Amino acid permease N-terminal
Tr20	PF13906	C-terminus of AA_permease
Tr20	PF00209	Sodium:neurotransmitter symporter family
Tr20	PF03491	Serotonin (5-HT) neurotransmitter transporter, N-terminus
Tr20	PF05525	Branched-chain amino acid transport protein
Tr20	TIGR00906	2A0303: cationic amino acid transport permease
Tr20	TIGR04299	antiport_PotE: putrescine-ornithine antiporter
Tr20	TIGR01773	GABAperm: GABA permease
Tr20	TIGR00930	2a30: K-Cl cotransporter
Tr20	TIGR03810	arg_ornith_anti: arginine-ornithine antiporter
Tr20	TIGR00905	2A0302: transporter, basic amino acid/polyamine antiporter (APA) family
Tr20	TIGR00911	2A0308: L-type amino acid transporter
Tr20	TIGR00910	2A0307_GadC: glutamate:gamma-aminobutyrate antiporter
Tr20	TIGR00913	2A0310: amino acid permease (yeast)
Tr20	TIGR00909	2A0306: amino acid transporter
Tr20	TIGR00796	livcs: branched-chain amino acid transport system II carrier protein
Tr20	COG0488	ATPase components of ABC transporters with duplicated ATPase domains
Tr20	COG0833	Amino acid transporters
Tr20	COG1113	Gamma-aminobutyrate permease and related permeases
Tr20	COG0733	Na+-dependent transporters of the SNF family
Tr20	COG1114	Branched-chain amino acid permeases
Tr21	PF08314	Secretory pathway protein Sec39
Tr22	PF02667	Short chain fatty acid transporter
Tr22	COG2031	Short chain fatty acids transporter
Tr23	TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
Tr23	COG2211	Na+/melibiose symporter and related transporters
Tr82	PF01545	Cation efflux family
Tr82	PF16916	Dimerisation domain of Zinc Transporter
Tr82	PF02321	Outer membrane efflux protein
Tr82	PF16572	Long alpha hairpin domain of cation efflux system protein, CusB
Tr82	TIGR00711	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
Tr82	TIGR00914	2A0601: heavy metal efflux pump, CzcA family
Tr82	TIGR01297	CDF: cation diffusion facilitator family transporter
Tr82	TIGR00915	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
Tr82	TIGR01844	type_I_sec_TolC: type I secretion outer membrane protein, TolC family
Tr82	TIGR01845	outer_NodT: efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family
Tr82	TIGR01730	RND_mfp: efflux transporter, RND family, MFP subunit
Tr82	TIGR00998	8a0101: efflux pump membrane protein
Tr82	COG3696	Putative silver efflux pump
Tr82	COG0053	Predicted Co/Zn/Cd cation transporters
Tr82	COG1230	Co/Zn/Cd efflux system component
Tr82	COG0841	Cation/multidrug efflux pump
Tr82	COG1566	Multidrug resistance efflux pump
Tr253	TIGR02314	ABC_MetN: D-methionine ABC transporter, ATP-binding protein
Tr253	COG1135	ABC-type metal ion transport system, ATPase component
Tr253	COG2011	ABC-type metal ion transport system, permease component
Tr80	PF03471	Transporter associated domain
Tr80	COG3263	NhaP-type Na+/H+ and K+/H+ antiporters with a unique C-terminal domain
Tr80	COG4536	Putative Mg2+ and Co2+ transporter CorB
Tr80	COG4535	Putative Mg2+ and Co2+ transporter CorC
Tr251	PF11203	Putative type VII ESX secretion system translocon, EccE
Tr251	TIGR03923	T7SS_EccE: type VII secretion protein EccE
Tr256	PF05977	Transmembrane secretion effector
Tr257	PF01203	Type II secretion system (T2SS), protein N
Tr254	PF04120	Low affinity iron permease
Tr255	PF04464	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
Tr258	TIGR00831	a_cpa1: Na+/H+ antiporter
Tr258	COG0025	NhaP-type Na+/H+ and K+/H+ antiporters
Tr89	PF02136	Nuclear transport factor 2 (NTF2) domain
Tr84	PF07168	Ureide permease
Tr1	PF04612	Type II secretion system (T2SS), protein M
Tr1	PF05134	Type II secretion system (T2SS), protein L
Tr1	TIGR01709	typeII_sec_gspL: type II secretion system protein L
Tr1	COG3149	Type II secretory pathway, component PulM
Tr1	COG3297	Type II secretory pathway, component PulL
Tr148	PF02563	Polysaccharide biosynthesis/export protein
Tr148	COG1596	Periplasmic protein involved in polysaccharide export
Tr149	PF05108	Type VII secretion system ESX-1, transport TM domain B
Tr149	TIGR03919	T7SS_EccB: type VII secretion protein EccB
Tr0	TIGR01728	SsuA_fam: ABC transporter, substrate-binding protein, aliphatic sulfonates family
Tr142	TIGR01186	proV: glycine betaine/L-proline transport ATP binding subunit
Tr142	COG1125	ABC-type proline/glycine betaine transport systems, ATPase components
Tr142	COG4175	ABC-type proline/glycine betaine transport system, ATPase component
Tr142	COG4176	ABC-type proline/glycine betaine transport system, permease component
Tr143	PF03137	Organic Anion Transporter Polypeptide (OATP) family
Tr143	TIGR00805	oat: sodium-independent organic anion transporter
Tr140	TIGR03929	T7_esaA_Nterm: type VII secretion protein EsaA
Tr141	PF04281	Mitochondrial import receptor subunit Tom22
Tr141	TIGR00986	3a0801s05tom22: mitochondrial import receptor subunit
Tr146	PF01773	Na+ dependent nucleoside transporter N-terminus
Tr146	PF07662	Na+ dependent nucleoside transporter C-terminus
Tr146	TIGR00804	nupC: nucleoside transporter, NupC family
Tr146	COG1972	Nucleoside permease
Tr3	TIGR01729	taurine_ABC_bnd: taurine ABC transporter, periplasmic binding protein
Tr3	TIGR01184	ntrCD: nitrate ABC transporter, ATP-binding proteins C and D
Tr3	TIGR01183	ntrB: nitrate ABC transporter, permease protein
Tr3	COG4525	ABC-type taurine transport system, ATPase component
Tr3	COG4521	ABC-type taurine transport system, periplasmic component
Tr3	COG0715	ABC-type nitrate/sulfonate/bicarbonate transport systems, periplasmic components
Tr3	COG1116	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
Tr3	COG0600	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
Tr144	PF03821	Golgi 4-transmembrane spanning transporter
Tr144	TIGR00799	mtp: Golgi 4-transmembrane spanning transporter
Tr98	PF04392	ABC transporter substrate binding protein
Tr98	COG2984	ABC-type uncharacterized transport system, periplasmic component
