Tr409		PF16860		
Tr408			TIGR00949	COG1280
Tr403			TIGR02789	COG0601
Tr402		PF02472	TIGR02797|TIGR02805	COG0848|COG0811
Tr401				COG1455
Tr400		PF02028	TIGR00842	COG1292
Tr407				COG1732
Tr406		PF09515	TIGR02357	
Tr405		PF15048		
Tr404		PF01311	TIGR01401	COG4791
Tr59				COG1120
Tr58		PF03083		
Tr51				COG1174
Tr50		PF00358|PF00367	TIGR01417	COG1264|COG1263|COG2190
Tr53				COG2391
Tr52			TIGR03255	COG1177
Tr55			TIGR00833	
Tr54				COG4795
Tr57		PF02553|PF12558	TIGR01165|TIGR04520|TIGR01166|TIGR04521	COG1930|COG1122
Tr56		PF00474	TIGR03648|TIGR02711|TIGR00813	COG0591|COG4147|COG4146
Tr241		PF05008		
Tr240			TIGR01183|TIGR01184	COG0600|COG0715|COG1116
Tr243				COG4668
Tr242				COG4662
Tr245		PF09828		
Tr244		PF05157		
Tr247		PF12019	TIGR01708	
Tr246				COG3231
Tr249				COG4586
Tr248		PF00955		
Tr38		PF14510|PF08370|PF06422		COG0842
Tr328		PF15305		
Tr329			TIGR01300	COG1320
Tr326			TIGR01301	
Tr327		PF01226	TIGR00790	COG2116
Tr324		PF03239		COG0672
Tr325			TIGR00907	
Tr322				COG2111
Tr323		PF00083|PF08946|PF13000	TIGR00887|TIGR00883|TIGR00898|TIGR00901|TIGR00879|TIGR00895|TIGR00897	COG0477
Tr320		PF11744		
Tr321		PF03611|PF00359		COG3775|COG1762
Tr418		PF04120		
Tr419		PF11732		
Tr28			TIGR01097	COG3639
Tr29		PF05638	TIGR03344	
Tr24			TIGR01254	
Tr25			TIGR02868|TIGR02857	COG4987|COG4988
Tr26			TIGR01253	
Tr27		PF06738|PF12821		
Tr20		PF10032		
Tr21		PF09474|PF09621	TIGR02568|TIGR01399|TIGR02502|TIGR02546|TIGR02511|TIGR02572|TIGR03496|TIGR03498|TIGR02503	COG4789|COG1157
Tr22		PF02669|PF03814	TIGR00681|TIGR00680|TIGR01497	COG2156|COG2060|COG2216
Tr23		PF16954		
Tr148		PF04069		COG2113
Tr149		PF04973	TIGR01528	COG3201
Tr142			TIGR03141	COG3114
Tr143				COG4135
Tr140		PF00209|PF03491		COG0733
Tr141		PF02659		
Tr146		PF06450	TIGR00774	COG3067
Tr147		PF00844		
Tr144		PF11093		
Tr145		PF08626		
Tr393				COG1119
Tr392				COG1118
Tr391		PF01544	TIGR00383	COG0598
Tr390		PF03390		COG3493
Tr397		PF06609		
Tr396				COG4181
Tr395		PF05525	TIGR00796	COG1114
Tr394			TIGR01773	COG1113
Tr399			TIGR01713	COG3031
Tr398				COG4214
Tr260		PF07660|PF00263|PF03958	TIGR02516|TIGR02517	COG4796|COG1450
Tr308		PF13721		
Tr309			TIGR00942	
Tr362		PF01366		
Tr363			TIGR00896	COG2807
Tr360			TIGR00893	
Tr361			TIGR02804	
Tr366				COG2223
Tr367		PF17000		
Tr364			TIGR01188	
Tr365		PF03619		
Tr368			TIGR00797	COG0534
Tr369		PF02386	TIGR00933|TIGR00934	COG0168
Tr60		PF02687	TIGR00439	COG4591
Tr61			TIGR01010	COG3524
Tr62			TIGR02119	COG4145
Tr63		PF14785		COG3833|COG1175
Tr64			TIGR00802	COG3376
Tr65		PF06965	TIGR00773	COG3004
Tr66		PF02447	TIGR00791	COG2610
Tr67		PF09604	TIGR02115	
Tr68			TIGR00890	
Tr69		PF10661	TIGR03927	
Tr188			TIGR01276	COG4143
Tr189		PF09794		
Tr186				COG1445|COG3925|COG1299
Tr187			TIGR01277	COG3840
Tr184				COG4525
Tr185			TIGR03258	
Tr182		PF06558		
Tr183			TIGR00881|TIGR00712	COG2271
Tr180		PF16185		COG5265
Tr181		PF00375		COG1301
Tr218			TIGR01191	COG0755
Tr219			TIGR02634	COG4213
Tr216				COG4152
Tr217		PF08817	TIGR03920	
Tr252		PF09822		
Tr215				COG1006
Tr212			TIGR01193|TIGR01846|TIGR01000	COG2274
Tr214		PF03821	TIGR00799	
Tr210		PF01298	TIGR01776|TIGR01779|TIGR01786|TIGR01785|TIGR01783	COG1629
Tr211		PF04143		
Tr213		PF02690	TIGR00704|TIGR01013	COG1283
Tr133		PF01758	TIGR00841	COG0385|COG0798
Tr132			TIGR04033	
Tr131		PF04039	TIGR00943	
Tr130		PF10270		
Tr137				COG5571
Tr136				COG1178
Tr250			TIGR04518	
Tr134				COG1172
Tr139				COG3127
Tr138			TIGR00400	COG2239
Tr371			TIGR00935	
Tr279		PF03806	TIGR00819	COG2978
Tr376		PF05437		
Tr270		PF10766		
Tr378		PF03739	TIGR04407|TIGR04408	COG0795
Tr254		PF09075		
Tr82		PF01235		COG1115
Tr83		PF03553	TIGR00931	COG2056|COG1757
Tr80		PF03810|PF08389		COG5101|COG5215|COG5656
Tr81		PF11988|PF11989		
Tr86		PF16572	TIGR01730|TIGR00998	COG1566
Tr87		PF12793|PF00496	TIGR02294	COG4166|COG4533|COG0747
Tr84		PF03471		COG4536|COG4535
Tr85		PF11382		
Tr88				COG1823
Tr89		PF08352	TIGR02770|TIGR01727	COG4167|COG4608|COG4172|COG4170|COG0444|COG1123
Tr319		PF07155		
Tr318				COG3633
Tr313		PF03334		
Tr312		PF03222|PF01490	TIGR00814|TIGR00837	COG0814
Tr311			TIGR00892	
Tr310		PF04464		
Tr317		PF07662	TIGR00804	COG1972
Tr316			TIGR00801	
Tr315		PF10614		
Tr314		PF02563		COG1596
Tr414				COG4239
Tr415				COG4160
Tr416				COG4120
Tr417			TIGR00915	COG0841
Tr410		PF03169	TIGR00733|TIGR00728|TIGR00727	
Tr411			TIGR03227	COG1840
Tr39		PF07331		
Tr413		PF05977		
Tr37		PF04612		COG3149
Tr36		PF05031	TIGR03657|TIGR03656|TIGR03658	
Tr35			TIGR01189	COG4133
Tr34		PF03616	TIGR00210	COG0786
Tr33		PF07672		
Tr32				COG0396
Tr31		PF02535		COG0428
Tr30		PF01547		COG0395|COG4209|COG1653
Tr177				COG1463
Tr176				COG4168
Tr175		PF00950		COG1108
Tr174				COG4597
Tr173		PF08449		
Tr172		PF08566		
Tr171		PF03773		COG0701
Tr170		PF16166	TIGR00994	
Tr344		PF11700		COG2270
Tr179		PF07970		
Tr178		PF12538|PF10140	TIGR03928|TIGR03926	
Tr346		PF10636		COG4256
Tr347		PF10604		
Tr388			TIGR01288	
Tr389			TIGR01197	COG1914
Tr384			TIGR03929	
Tr385				COG0630
Tr386			TIGR00968	
Tr387			TIGR00944	
Tr380			TIGR01256|TIGR03730	COG0725
Tr381		PF04051		COG5128
Tr382		PF04281	TIGR00986	
Tr383				COG4176
Tr135			TIGR01404	COG4792
Tr429				COG3732
Tr428				COG0834
Tr359		PF05975	TIGR03740|TIGR01257	COG4473|COG1131
Tr358			TIGR04077	
Tr357			TIGR00940	
Tr356			TIGR00941	
Tr355				COG0025
Tr354		PF08334|PF02501	TIGR01710|TIGR01707	COG2165
Tr353		PF10412		
Tr420		PF01749		COG5064
Tr351			TIGR00955	
Tr350		PF02534		COG3505
Tr73		PF04145		
Tr72			TIGR01291	
Tr71				COG1127
Tr70		PF15894		
Tr77				COG4559
Tr76			TIGR03226	
Tr75			TIGR01194	COG4615
Tr74			TIGR02141	
Tr79			TIGR02567	
Tr78		PF10599		
Tr229		PF09483	TIGR02557	
Tr228		PF10498		
Tr223		PF02136		
Tr222		PF00520|PF08412|PF06512		
Tr221			TIGR02551|TIGR01102	COG4790|COG1886
Tr220			TIGR03003|TIGR03004|TIGR01726	COG4215|COG4161|COG0765
Tr227			TIGR02135|TIGR00972	COG0704|COG1117
Tr226				COG4174
Tr225		PF03401		
Tr224		PF06516		
Tr128		PF06808|PF03480|PF04290	TIGR00786|TIGR00787	COG1593|COG1638|COG4663|COG3090
Tr129		PF06379		
Tr124			TIGR04183	
Tr125		PF03865		
Tr126		PF00188		
Tr127		PF02417	TIGR00937	COG2059
Tr120		PF15171		
Tr121		PF07168		
Tr122				COG4778
Tr123		PF10634		COG3470
Tr1		PF08314		
Tr0		PF02667		COG2031
Tr99			TIGR02142	COG4148
Tr3			TIGR00792	COG2211
Tr301		PF04888		
Tr2				COG1079|COG4603|COG3845
Tr269				COG3822
Tr5		PF07321		
Tr268			TIGR03005	
Tr4		PF05742		
Tr95		PF08627		
Tr7				COG4555
Tr94		PF03812	TIGR00793	
Tr6		PF16326		COG0488
Tr97		PF11711		
Tr304			TIGR01728	
Tr305		PF03666		
Tr306			TIGR01729	COG4521
Tr307		PF16937		
Tr300		PF01475		COG0735
Tr98			TIGR00891	
Tr302		PF16537		
Tr303		PF05134	TIGR01709	COG3297
Tr267				COG4107
Tr266			TIGR00932	COG4651
Tr265			TIGR03025	
Tr264				COG0577|COG1136
Tr263			TIGR04406	COG1137
Tr262			TIGR03023	
Tr261			TIGR03022	
Tr90		PF03594	TIGR00843	
Tr93		PF16996		
Tr92		PF11130	TIGR02746	
Tr160				COG2072
Tr161			TIGR00886	
Tr162		PF03547	TIGR00946	COG0679
Tr163			TIGR00948	COG1279
Tr164		PF03886		
Tr165		PF03253		COG4413
Tr166		PF03137	TIGR00805	
Tr167		PF10104		
Tr168			TIGR00975|TIGR02138	COG0226|COG0573
Tr169		PF07931		COG3896
Tr425			TIGR01192|TIGR02203	COG1132
Tr424		PF00689|PF00690|PF12409|PF12424	TIGR01647|TIGR01523|TIGR01522|TIGR01106	COG0474
Tr427		PF06218		
Tr426		PF01891		COG0310
Tr421		PF02064	TIGR00985	
Tr352		PF17080		
Tr115		PF13103|PF03544	TIGR01352	COG0810
Tr114		PF11124		
Tr117				COG2409
Tr116				COG4149
Tr111			TIGR01295	
Tr423				COG1134
Tr113				COG1126
Tr112		PF00482	TIGR02120	COG1459
Tr422		PF06610		
Tr119		PF10642		
Tr118		PF15178		
Tr285		PF05108	TIGR03919	
Tr284		PF03364		COG2867
Tr287		PF00437	TIGR03819|TIGR02533	COG2804
Tr286			TIGR02803	
Tr281		PF06472	TIGR00954	COG4178
Tr280			TIGR00914	COG3696
Tr283			TIGR03659	
Tr282			TIGR01272|TIGR00885	COG0738
Tr289		PF02405	TIGR00056	COG0767
Tr288		PF10304|PF10363		
Tr348		PF03219		
Tr349		PF02361	TIGR02454	COG0619
Tr340		PF04515		
Tr341				COG3839
Tr342				COG0475
Tr343			TIGR04281	COG0614
Tr432			TIGR02995	
Tr345		PF12951|PF03797|PF13018|PF16168	TIGR02601|TIGR01414|TIGR04415	COG3468
Tr430		PF01899		COG1863
Tr431				COG1918
Tr48				COG1682
Tr49		PF01925		COG0730
Tr46				COG1687
Tr47		PF06646		
Tr44			TIGR03925|TIGR03924	
Tr45		PF12317		
Tr42		PF02355	TIGR00916|TIGR00966|TIGR01129	
Tr43		PF00939	TIGR00785	COG0471
Tr40		PF05025|PF06800	TIGR00776	COG1869|COG4975
Tr41		PF04995		
Tr234			TIGR01098	COG3221
Tr235		PF02421|PF07664	TIGR00437	COG0370
Tr236		PF13722		
Tr237				COG0569
Tr230			TIGR02314	COG2011|COG1135
Tr231		PF03600	TIGR00775|TIGR00784	COG1055|COG2851
Tr232		PF11203	TIGR03923	
Tr233		PF03605	TIGR00770	COG2704
Tr238		PF10392		
Tr239		PF00361		COG1009
Tr9			TIGR00958	
Tr8			TIGR04259	
Tr339		PF08318		
Tr338		PF03612|PF07663		
