T398			TIGR01186	COG4175
T399		PF03253		COG4413
T390		PF08318		
T391		PF01773		
T392		PF13722		
T393				COG0411
T394				COG0410
T395			TIGR00886	
T396				COG2072
T397		PF01970		
T72		PF00916	TIGR00815	COG0659
T73			TIGR02769	COG1124
T70		PF01306	TIGR00902|TIGR00882	
T71				COG3633
T76		PF14931		
T77			TIGR03173|TIGR00801	COG2233
T74		PF11728|PF06081		
T75			TIGR00816	COG1275
T78		PF12621|PF14703		
T79			TIGR00950	COG0697
T365				COG4778
T364		PF07168		
T367				COG2409
T366			TIGR02503	
T361				COG1653
T360		PF00520|PF08412|PF06512		
T248		PF07672		
T249		PF03616	TIGR00210	COG0786
T246		PF16940		
T247		PF01636		COG3173
T244		PF03135	TIGR00929	COG3451
T245		PF09621	TIGR02572	
T242			TIGR00983|TIGR00980	COG5596
T243		PF00892		
T240		PF05101		COG3702
T241		PF03977	TIGR03136	COG1883
T98			TIGR03255	COG1177
T99				COG1176
T149			TIGR03925|TIGR03924	
T148		PF04995		
T419			TIGR02633	
T418		PF10412		
T145		PF06450	TIGR00774	COG3067
T144		PF00844		
T147		PF02355	TIGR00916|TIGR00966|TIGR01129	
T146			TIGR00932	
T141			TIGR00881|TIGR00712	COG2271
T140		PF01514	TIGR02544	COG1766|COG4669
T143		PF12317		
T142			TIGR02546	
T94		PF00909	TIGR00836	COG0004
T48		PF04069		COG2113
T95		PF03222|PF01490	TIGR00814|TIGR00837	COG0814
T96		PF03349		COG2067
T97				COG1174
T213		PF00474	TIGR00813	COG0591
T90			TIGR01010	COG3524
T199			TIGR01295	
T91		PF02687	TIGR00439	
T43		PF06826	TIGR03802|TIGR01625	COG2985
T92			TIGR00833	
T89			TIGR02119	COG4145
T88		PF14785		COG1175
T87			TIGR00802	COG3376
T86		PF06965	TIGR00773	COG3004
T85		PF02447	TIGR00791	COG2610
T84		PF09604	TIGR02115	
T83			TIGR00890	
T82		PF10661	TIGR03927	
T81				COG0651
T80		PF02652	TIGR00795	COG1620
T40		PF03810|PF08389		COG5101|COG5215|COG5656
T192		PF02653		COG0559|COG4211|COG4177
T483			TIGR02551	
T218		PF02411		
T45		PF03083		
T44		PF03082		
T363			TIGR03496|TIGR03498	COG1157
T362				COG1886
T369		PF10642		
T368		PF15178		
T38		PF01235		COG1115
T39		PF03553	TIGR00931	COG2056|COG1757
T36		PF11382		
T37				COG4535
T34				COG4531
T35		PF03471		COG4536
T32		PF16572	TIGR01730|TIGR00998	COG1566
T33		PF12793|PF00496	TIGR02294	COG4166|COG4533|COG0747
T30				COG1823
T31		PF08352	TIGR01727	COG4608|COG4172|COG4170|COG0444|COG1123
T329				COG4597
T328		PF08449		
T321			TIGR00025	
T320			TIGR04056|TIGR04057	
T323			TIGR00975	
T322		PF10104		
T325		PF16166	TIGR00994	
T324		PF07931		COG3896
T327		PF08566		
T326		PF03773		COG0701
T215		PF00437		COG2804
T214		PF02028	TIGR00842	COG1292
T217				COG2831
T216		PF00217|PF02807		
T211				COG1226
T210		PF01032		COG4779|COG4605|COG4606|COG4139|COG0609
T198			TIGR00974	COG0581
T212			TIGR01713	COG3031
T196		PF00482	TIGR02120	COG1459
T197				COG4591
T194		PF11124		
T195		PF13103|PF03544	TIGR01352	
T219		PF10337|PF10334		
T193				COG4598
T190				COG4215
T191			TIGR02634	COG4213
T358		PF06516		
T359		PF02136		
T354			TIGR02135	COG0704
T355				COG4174
T356			TIGR02139	
