TransporterGroup	Family	Description
T152	PF09621	Type III secretion system regulator (LcrR)
T152	TIGR02572	LcrR: type III secretion system regulator LcrR
T153	PF16940	Chloroplast envelope transporter
T150	TIGR00983	3a0801s02tim23: mitochondrial import inner membrane translocase subunit
T150	TIGR00980	3a0801so1tim17: mitochondrial import inner membrane translocase subunit tim17
T150	COG5596	Mitochondrial import inner membrane translocase, subunit TIM22
T151	COG3562	Capsule polysaccharide export protein
T151	COG3563	Capsule polysaccharide export protein
T156	PF03616	Sodium/glutamate symporter
T156	TIGR00210	gltS: sodium/glutamate symporter
T156	COG0786	Na+/glutamate symporter
T157	PF02535	ZIP Zinc transporter
T157	TIGR00820	zip: ZIP zinc/iron transport family
T157	COG0428	Predicted divalent heavy-metal cations transporter
T154	PF01636	Phosphotransferase enzyme family
T154	COG3173	Predicted aminoglycoside phosphotransferase
T154	COG3231	Aminoglycoside phosphotransferase
T155	PF07672	Mycoplasma MFS transporter
T54	PF01226	Formate/nitrite transporter
T54	TIGR04060	formate_focA: formate transporter FocA
T54	TIGR00790	fnt: formate/nitrite transporter
T54	COG2116	Formate/nitrite family of transporters
T158	PF15432	Accessory Sec secretory system ASP3
T158	PF16929	Accessory Sec system GspB-transporter
T159	COG0396	ABC-type transport system involved in Fe-S cluster assembly, ATPase component
T159	COG0719	ABC-type transport system involved in Fe-S cluster assembly, permease component
T55	TIGR01301	GPH_sucrose: sucrose/H+ symporter
T72	PF02652	L-lactate permease
T72	TIGR00795	lctP: transporter, lactate permease (LctP) family
T72	COG1620	L-lactate permease
T73	PF01769	Divalent cation transporter
T73	TIGR00400	mgtE: magnesium transporter
T73	COG2239	Mg/Co/Ni transporter MgtE (contains CBS domain)
T70	PF00916	Sulfate permease family
T70	TIGR00815	sulP: sulfate permease
T70	COG0659	Sulfate permease and related transporters (MFS superfamily)
T71	PF12621	Extracellular tail, of 10TM putative phosphate transporter
T71	PF14703	Cytosolic domain of 10TM putative phosphate transporter
T76	PF02447	GntP family permease
T76	TIGR00791	gntP: transporter, gluconate:H+ symporter (GntP) family
T76	COG2610	H+/gluconate symporter and related permeases
T77	PF06965	Na+/H+ antiporter 1
T77	TIGR00773	NhaA: Na+/H+ antiporter NhaA
T77	COG3004	Na+/H+ antiporter
T74	PF09604	F subunit of K+-transporting ATPase (Potass_KdpF)
T74	TIGR02115	potass_kdpF: K+-transporting ATPase, F subunit
T75	COG4604	ABC-type enterochelin transport system, ATPase component
T75	COG4605	ABC-type enterochelin transport system, permease component
T75	COG4606	ABC-type enterochelin transport system, permease component
T75	COG4607	ABC-type enterochelin transport system, periplasmic component
T78	PF03824	High-affinity nickel-transport protein
T78	PF09930	Predicted transporter (DUF2162)
T78	TIGR00802	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
T78	COG3376	High-affinity nickel permease
T78	COG2215	ABC-type uncharacterized transport system, permease component
T78	COG3683	ABC-type uncharacterized transport system, periplasmic component
T79	TIGR02119	panF: sodium/pantothenate symporter
T79	COG4145	Na+/panthothenate symporter
T199	PF08566	Mitochondrial import protein Pam17
T248	PF10604	Polyketide cyclase / dehydrase and lipid transport
T249	PF17000	Accessory secretory protein Sec, Asp5
T246	PF17080	Multidrug Resistance efflux pump
T247	PF10412	Type IV secretion-system coupling protein DNA-binding domain
T244	PF02667	Short chain fatty acid transporter
T244	COG2031	Short chain fatty acids transporter
T245	PF02534	Type IV secretory system Conjugative DNA transfer
T245	COG3505	Type IV secretory pathway, VirD4 components
T242	PF02501	Type II secretion system (T2SS), protein I
T242	TIGR01707	gspI: type II secretion system protein I
T243	PF11262	Transcription factor/nuclear export subunit protein 2
