TransportGroup	PFAM	TIGRFAM	COG
T152	PF07931		COG3896
T153		TIGR01948|TIGR01945|TIGR01944|TIGR01947|TIGR01946|TIGR01943	
T150		TIGR00949	COG1280
T151			COG4778|COG4107
T156	PF16166	TIGR00994	
T157	PF03773		COG0701
T154		TIGR04056|TIGR04057	
T155		TIGR03265	
T185			COG5215
T158	PF11130	TIGR02746	
T159	PF03812	TIGR00793	
T184		TIGR04281	
T72		TIGR01844	
T73			COG0833
T70	PF03806	TIGR00819	COG2978
T71		TIGR03819|TIGR03815	
T76	PF01384		COG1392|COG0306
T77		TIGR00733|TIGR00728|TIGR00727	
T74		TIGR01272|TIGR00885	COG0738
T75	PF10140	TIGR03926|TIGR03928	
T78		TIGR00771	COG3069
T79		TIGR00893|TIGR00881|TIGR00712	COG2271
T182	PF02534		COG3505
T194			COG3263
T149		TIGR00637	COG1119
T148			COG3127
T145	PF03364		COG2867
T144			COG1079
T147	PF10304|PF10363		
T146	PF05108	TIGR03919	
T141	PF02374	TIGR00345	
T140		TIGR00924|TIGR00926	COG3104
T143		TIGR00954	
T142		TIGR02122	COG2358
T197			COG2962
T198	PF05977		
T196			COG4663
T89	PF09483	TIGR02557	
T88	PF11203	TIGR03923	
T87	PF03605	TIGR00770	COG2704
T86		TIGR01779	
T85	PF10636		COG4256
T84	PF03865|PF05662|PF05658		COG2831
T83	PF00939	TIGR00785	
T82		TIGR03925|TIGR03924	
T81	PF06450	TIGR00774	COG3067
T80			COG0823
T138			COG3716|COG3715|COG3444
T139		TIGR04518	
T195			COG4662
T187	PF12424		
T130		TIGR00934	
T131			COG1301
T132		TIGR00886	COG2223
T133		TIGR00704|TIGR01013	COG1283
T134	PF03821	TIGR00799	
T135	PF03137	TIGR00805	
T136		TIGR01005	
T137	PF07662|PF01773		COG1972
T14	PF01733	TIGR00939	
T15			COG1823
T16		TIGR00998	COG1566
T17	PF12793		COG4533
T10	PF02705	TIGR00794	COG3158
T11	PF05437		COG1687|COG1296
T12	PF03739	TIGR04408	COG0795
T13	PF04051		COG5128
T191		TIGR00913	
T18			COG4531
T19			COG4137|COG4536
T161	PF03594	TIGR00843	
T160		TIGR00890|TIGR04259	
T98	PF13103|PF03544		COG0810
T99			COG4594
T94		TIGR00775|TIGR00935	
T95			COG1668|COG4152|COG4555
T96	PF08817	TIGR03920	
T97		TIGR03648	
T90		TIGR02554	
T91	PF09828|PF02417	TIGR00937	COG2059
T92	PF03401		COG2851
T93	PF06379		
T129			COG4619
T128	PF06738|PF12821		
T123	PF07672		
T122			COG1805|COG2871|COG2209|COG1726
T121	PF01636		COG3173|COG3231
T120	PF09930		COG2215|COG3683
T127	PF05638	TIGR03344	
T126			COG0396|COG0719
T125	PF02535	TIGR00820	COG0428
T124	PF03616	TIGR00210	COG0786
T29		TIGR00797	COG0534
T28	PF06826	TIGR03802|TIGR01625	
T169	PF09819		
T193		TIGR01773	
T21	PF01235		COG1115
T20			COG4535
T23		TIGR00931	COG2056|COG1757
T22		TIGR01523	
T25	PF08389		COG5101
T24			COG3704|COG3504|COG3736
T27	PF12409		
T26	PF11988|PF11989		
T192		TIGR00892	
T189			COG5006
T190	PF16929|PF15432		
T188	PF08988	TIGR02501	
T38	PF08946	TIGR00887|TIGR00883|TIGR00898|TIGR00891|TIGR00879	
T39	PF03239		COG2822|COG0672
T36	PF04973	TIGR01528	COG3201
T37	PF01226	TIGR04060|TIGR00790	
T34	PF13593|PF01758	TIGR00841	COG0798
T35	PF08619	TIGR00831|TIGR00844	
T32			COG0053|COG1230
T33	PF01544	TIGR00383	COG0598
T30	PF04142		
T31	PF08403|PF13906	TIGR04299|TIGR00907|TIGR00930|TIGR00906|TIGR03810|TIGR00911|TIGR00910	
T202		TIGR00897	
T203			COG4586
T200		TIGR00895	
T201		TIGR00896	COG2807
T204			COG1744
T186	PF11700		COG2270
T49	PF09604	TIGR02115	
T48		TIGR02473|TIGR03497|TIGR03496|TIGR03498	COG1766
T168		TIGR01647	
T199			COG5656
T43		TIGR00816	COG1275
T42	PF11728|PF06081		
T41	PF00916	TIGR00815	COG0659
T40	PF01306	TIGR00902|TIGR00882	
T47	PF02652	TIGR00795	COG1620
T46		TIGR00950	
T45	PF12621|PF14703		
T44		TIGR03173|TIGR03616	
T116	PF03977	TIGR03136	COG1883
T117		TIGR00983|TIGR00980	COG5596
T114		TIGR03657|TIGR03656|TIGR03658	
T115	PF01475		
T112	PF01925|PF04143		COG0730
T113			COG4134
T110	PF09477		
T111			COG4139
T118			COG3562|COG3563
T119	PF09621	TIGR02572	
T174	PF09783		COG5073
T175	PF03253		COG4413
T176	PF03886		
T177		TIGR00948	COG1279
T170	PF00520|PF08412|PF06512		
T171	PF07996		
T172			COG4146
T173	PF06646		
T178	PF03547	TIGR00946	COG0679
T179		TIGR00792	
T58	PF03349		COG2067
T59	PF17001		
T50	PF02447	TIGR00791	COG2610
T51	PF06965	TIGR00773	COG3004
T52		TIGR00802	COG3376
T53			COG3833
T54			COG4145
T55		TIGR00833	COG2409
T56	PF00909	TIGR00836	COG0004
T57	PF01490|PF03222	TIGR00814|TIGR00837	
T101		TIGR02551	COG1886
T100	PF02133	TIGR00800	COG1953|COG1457
T103		TIGR01713	COG3031
T102	PF09515	TIGR02357	
T105	PF02028	TIGR00842	COG1292
T104		TIGR02121	
T107	PF10634		COG3470
T106	PF00217|PF02807		
T109	PF01885		COG1859
T108	PF11744|PF10337|PF10334		
T167			COG2252
T166	PF04281	TIGR00986	
T165		TIGR03929|TIGR03930	
T164	PF13000	TIGR00901	
T163	PF03390		COG3493
T162		TIGR01197	COG1914
T8	PF10661	TIGR03927	
T9		TIGR00932	COG4651|COG0475
T6			COG1826|COG0805
T7		TIGR03022|TIGR03023|TIGR03025	
T4	PF09474	TIGR02503|TIGR02502	
T5	PF03151		
T2		TIGR01192|TIGR02203|TIGR00958	
T3			COG4591
T0			COG5266
T1	PF05975	TIGR03740|TIGR01257|TIGR00955	COG4473|COG1277
T69			COG1447
T68	PF02064	TIGR00985	
T65	PF04392		COG2984
T64	PF03491		
T67	PF01749		COG5064
T66		TIGR01194	
T61	PF04888	TIGR02101|TIGR02552	
T60		TIGR00439	
T63			COG5571
T62	PF01769	TIGR00400	COG2239
T181	PF02667		COG2031
T180	PF16326		
T183	PF11262|PF11732		
