TransportGroup	PFAM	TIGRFAM	COG
T398	PF01203		
T399	PF06738		
T390	PF03666		
T391	PF16937		
T392	PF16537		
T393	PF04888		
T394	PF05134	TIGR01709	COG3297
T395	PF04464		
T396	PF05977		
T397	PF00892		COG5006
T72	PF14931		
T73	PF00860	TIGR03173|TIGR03616|TIGR00801	COG2233
T70	PF11728|PF06081		
T71		TIGR00816	COG1275
T76	PF02652	TIGR00795	COG1620
T77	PF10661	TIGR03927	
T74	PF12621|PF14703		
T75	PF00892	TIGR00950	
T78		TIGR00890|TIGR04259	
T79	PF09604	TIGR02115	
T365	PF02534		COG3505
T364	PF08314		
T367	PF10412		
T366	PF17080		
T361	PF16326		COG0488
T360	PF07321		
T248	PF03137	TIGR00805	
T249	PF07662|PF01773	TIGR00804	COG1972
T246	PF02690	TIGR00704|TIGR01013	COG1283
T247	PF03821	TIGR00799	
T244	PF02553	TIGR01165	COG1930
T245		TIGR01000	
T242	PF03886		COG1463
T243	PF01298		
T240		TIGR00886	COG2223
T241	PF09392	TIGR02105	
T98	PF02687	TIGR00439	
T99		TIGR01253	COG1178
T149	PF09075		
T148	PF10636		COG4256
T419	PF05975		COG4473
T418	PF10392		
T145	PF04515		
T144		TIGR02138	COG0573
T147	PF12951|PF05658|PF05662|PF16168	TIGR02601|TIGR01414|TIGR04415	
T146			COG3839
T141		TIGR03925|TIGR03924	
T140	PF02355|PF13721	TIGR00916|TIGR01129|TIGR00966	
T143	PF04612		COG3149
T142	PF03600|PF00939	TIGR00784|TIGR00785	COG0471|COG2851
T94	PF11612	TIGR01711	COG4795
T48	PF00361|PF04039	TIGR00943|TIGR00940|TIGR00944	COG1009|COG2111|COG0651
T95	PF12911	TIGR02790	COG4239|COG4171|COG1173
T96	PF02653		COG1172|COG4603|COG1079
T97	PF17001	TIGR02497	
T213	PF05031	TIGR03657|TIGR03656|TIGR03658	
T90	PF03349		
T199	PF09477	TIGR02508	
T91			COG1174
T43	PF03082		
T92		TIGR03255	COG1177
T89	PF03222|PF01490	TIGR00814|TIGR00837	COG0814
