GO:0000041	transition metal ion transport
GO:0000910	cytokinesis
GO:0001530	lipopolysaccharide binding
GO:0001539	cilium or flagellum-dependent cell motility
GO:0003674	molecular_function
GO:0003700	DNA binding transcription factor activity
GO:0003824	catalytic activity
GO:0004872	receptor activity
GO:0005215	transporter activity
GO:0005275	amine transmembrane transporter activity
GO:0005298	proline
GO:0005319	lipid transporter activity
GO:0005337	nucleoside transmembrane transporter activity
GO:0005342	organic acid transmembrane transporter activity
GO:0005375	copper ion transmembrane transporter activity
GO:0005451	monovalent cation
GO:0005488	binding
GO:0005507	copper ion binding
GO:0005515	protein binding
GO:0005524	ATP binding
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005737	cytoplasm
GO:0005886	plasma membrane
GO:0005887	integral component of plasma membrane
GO:0006032	chitin catabolic process
GO:0006096	glycolytic process
GO:0006139	nucleobase-containing compound metabolic process
GO:0006355	regulation of transcription, DNA-templated
GO:0006493	protein O-linked glycosylation
GO:0006527	arginine catabolic process
GO:0006797	polyphosphate metabolic process
GO:0006808	regulation of nitrogen utilization
GO:0006810	transport
GO:0006812	cation transport
GO:0006813	potassium ion transport
GO:0006814	sodium ion transport
GO:0006817	phosphate ion transport
GO:0006820	anion transport
GO:0006824	cobalt ion transport
GO:0006825	copper ion transport
GO:0006855	drug transmembrane transport
GO:0006857	oligopeptide transport
GO:0006865	amino acid transport
GO:0006869	lipid transport
GO:0006885	regulation of pH
GO:0007601	visual perception
GO:0008026	ATP-dependent helicase activity
GO:0008028	monocarboxylic acid transmembrane transporter activity
GO:0008150	biological_process
GO:0008236	serine-type peptidase activity
GO:0008272	sulfate transport
GO:0008324	cation transmembrane transporter activity
GO:0008508	bile acid
GO:0008509	anion transmembrane transporter activity
GO:0008519	ammonium transmembrane transporter activity
GO:0008556	potassium-transporting ATPase activity
GO:0008565	protein transporter activity
GO:0008643	carbohydrate transport
GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
GO:0009055	electron transfer activity
GO:0009228	thiamine biosynthetic process
GO:0009279	cell outer membrane
GO:0009288	bacterial-type flagellum
GO:0009306	protein secretion
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0009405	pathogenesis
GO:0009450	gamma-aminobutyric acid catabolic process
GO:0009897	external side of plasma membrane
GO:0009898	cytoplasmic side of plasma membrane
GO:0009986	cell surface
GO:0015078	hydrogen ion transmembrane transporter activity
GO:0015079	potassium ion transmembrane transporter activity
GO:0015087	cobalt ion transmembrane transporter activity
GO:0015095	magnesium ion transmembrane transporter activity
GO:0015105	arsenite transmembrane transporter activity
GO:0015109	chromate transmembrane transporter activity
GO:0015114	phosphate ion transmembrane transporter activity
