TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family
TIGR00056	TIGR00056: ABC transport permease subunit
TIGR00210	gltS: sodium/glutamate symporter
TIGR00220	mscL: large conductance mechanosensitive channel protein
TIGR00345	GET3_arsA_TRC40: transport-energizing ATPase, TRC40/GET3/ArsA family
TIGR00383	corA: magnesium and cobalt transport protein CorA
TIGR00400	mgtE: magnesium transporter
TIGR00437	feoB: ferrous iron transport protein B
TIGR00439	ftsX: putative protein insertion permease FtsX
TIGR00637	ModE_repress: ModE molybdate transport repressor domain
TIGR00680	kdpA: K+-transporting ATPase, A subunit
TIGR00681	kdpC: K+-transporting ATPase, C subunit
TIGR00704	NaPi_cotrn_rel: Na/Pi-cotransporter II-related protein
TIGR00710	efflux_Bcr_CflA: drug resistance transporter, Bcr/CflA subfamily
TIGR00711	efflux_EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family
TIGR00712	glpT: glycerol-3-phosphate transporter
TIGR00727	ISP4_OPT: small oligopeptide transporter, OPT family
TIGR00728	OPT_sfam: oligopeptide transporter, OPT superfamily
TIGR00733	TIGR00733: oligopeptide transporter, OPT family
TIGR00750	lao: LAO/AO transport system ATPase
TIGR00770	Dcu: transporter, anaerobic C4-dicarboxylate uptake (Dcu) family
TIGR00771	DcuC: transporter, anaerobic C4-dicarboxylate uptake C (DcuC) family
TIGR00773	NhaA: Na+/H+ antiporter NhaA
TIGR00774	NhaB: Na+/H+ antiporter NhaB
TIGR00775	NhaD: Na+/H+ antiporter, NhaD family
TIGR00776	RhaT: RhaT L-rhamnose-proton symporter family protein
TIGR00779	cad: cadmium resistance transporter family protein
TIGR00784	citMHS: citrate transporter
TIGR00785	dass: transporter, divalent anion:Na+ symporter (DASS) family
TIGR00786	dctM: TRAP transporter, DctM subunit
TIGR00787	dctP: TRAP transporter solute receptor, DctP family
TIGR00788	fbt: folate/biopterin transporter
TIGR00790	fnt: formate/nitrite transporter
TIGR00791	gntP: transporter, gluconate:H+ symporter (GntP) family
TIGR00792	gph: sugar (Glycoside-Pentoside-Hexuronide) transporter
TIGR00793	kdgT: 2-keto-3-deoxygluconate transporter
TIGR00794	kup: potassium uptake protein
TIGR00795	lctP: transporter, lactate permease (LctP) family
TIGR00796	livcs: branched-chain amino acid transport system II carrier protein
TIGR00797	matE: MATE efflux family protein
TIGR00799	mtp: Golgi 4-transmembrane spanning transporter
TIGR00800	ncs1: NCS1 nucleoside transporter family
TIGR00801	ncs2: uracil-xanthine permease
TIGR00802	nico: transition metal uptake transporter, Ni2+-Co2+ transporter (NiCoT) family
TIGR00803	nst: UDP-galactose transporter
TIGR00804	nupC: nucleoside transporter, NupC family
TIGR00805	oat: sodium-independent organic anion transporter
TIGR00807	malonate_madL: malonate transporter, MadL subunit
TIGR00808	malonate_madM: malonate transporter, MadM subunit
TIGR00809	secB: protein-export chaperone SecB
TIGR00811	sit: silicon transporter
TIGR00813	sss: transporter, solute:sodium symporter (SSS) family
TIGR00814	stp: serine transporter
TIGR00815	sulP: sulfate permease
TIGR00816	tdt: C4-dicarboxylate transporter/malic acid transport protein
TIGR00819	ydaH: AbgT transporter family
TIGR00820	zip: ZIP zinc/iron transport family
TIGR00831	a_cpa1: Na+/H+ antiporter
TIGR00833	actII: transport protein
TIGR00836	amt: ammonium transporter
TIGR00837	araaP: aromatic amino acid transport protein
TIGR00841	bass: bile acid transporter
TIGR00842	bcct: transporter, betaine/carnitine/choline transporter (BCCT) family
TIGR00843	benE: benzoate transporter
TIGR00844	c_cpa1: sodium/hydrogen antiporter
TIGR00859	ENaC: sodium channel transporter
TIGR00860	LIC: cation transporter family protein
TIGR00861	MIP: MIP family channel proteins
TIGR00862	O-ClC: intracellular chloride channel protein
TIGR00863	P2X: cation transporter protein
TIGR00864	PCC: polycystin cation channel protein
