	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8
T1	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	carbohydrate transport/monosaccharide transport	monosaccharide transport/pentose transport	pentose transport	D-xylose transport	Unclassified.D-xylose transport	Unclassified.D-xylose transport
T2	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/hydrogen transport/ion transport	cation transport/hydrogen transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	monovalent inorganic cation transport/proton transport	Unclassified.monovalent inorganic cation transport/proton transport	Unclassified.monovalent inorganic cation transport/proton transport
T3	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	phosphate ion transport	Unclassified.phosphate ion transport	Unclassified.phosphate ion transport
T4	establishment of localization	transport	nitrogen compound transport/organic substance transport/ion transport	cation transport/amide transport	metal ion transport	transition metal ion transport	nickel cation transport/peptide transport	Unclassified.nickel cation transport/peptide transport	Unclassified.nickel cation transport/peptide transport
T5	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	single-organism transport/secretion/protein transport/organic substance transport/transmembrane transport	protein secretion/secretion/protein transport/secretion by cell/protein transmembrane transport	protein secretion/protein transmembrane transport/secretion by cell/protein transport across the cell outer membrane	protein secretion/protein transport across the cell outer membrane	protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system	Unclassified.protein secretion by the type II secretion system
T6	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T7	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T8	establishment of localization	transport	ion transport	cation transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	potassium ion transport	Unclassified.potassium ion transport	Unclassified.potassium ion transport
T9	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	carbohydrate transport	Unclassified.carbohydrate transport	Unclassified.carbohydrate transport	phosphoenolpyruvate-dependent sugar phosphotransferase system	Unclassified.phosphoenolpyruvate-dependent sugar phosphotransferase system	Unclassified.phosphoenolpyruvate-dependent sugar phosphotransferase system
T10	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
