	Node1	Node2
0	COG1566	TIGR01730
1	TIGR01730	COG1566
2	COG1566	TIGR01730
3	TIGR01730	COG1566
4	COG1126	PF00005
5	PF00005	COG1126
6	PF02932	PF02931
7	PF02932	TIGR00860
8	PF02931	PF02932
9	PF02931	TIGR00860
10	TIGR00860	PF02932
11	TIGR00860	PF02931
12	PF02932	PF02931
13	PF02932	TIGR00860
14	PF02931	PF02932
15	PF02931	TIGR00860
16	TIGR00860	PF02932
17	TIGR00860	PF02931
18	PF02932	PF02931
19	PF02932	TIGR00860
20	PF02931	PF02932
21	PF02931	TIGR00860
22	TIGR00860	PF02932
23	TIGR00860	PF02931
24	PF02932	PF02931
25	PF02932	TIGR00860
26	PF02931	PF02932
27	PF02931	TIGR00860
28	TIGR00860	PF02932
29	TIGR00860	PF02931
30	PF02932	PF02931
31	PF02932	TIGR00860
32	PF02931	PF02932
33	PF02931	TIGR00860
34	TIGR00860	PF02932
35	TIGR00860	PF02931
36	PF02932	PF02931
37	PF02932	TIGR00860
38	PF02931	PF02932
39	PF02931	TIGR00860
40	TIGR00860	PF02932
41	TIGR00860	PF02931
42	PF02932	PF02931
43	PF02932	TIGR00860
44	PF02931	PF02932
45	PF02931	TIGR00860
46	TIGR00860	PF02932
47	TIGR00860	PF02931
48	PF02932	PF02931
49	PF02932	TIGR00860
50	PF02931	PF02932
51	PF02931	TIGR00860
52	TIGR00860	PF02932
53	TIGR00860	PF02931
54	PF02932	PF02931
55	PF02932	TIGR00860
56	PF02931	PF02932
57	PF02931	TIGR00860
58	TIGR00860	PF02932
59	TIGR00860	PF02931
60	PF02932	PF02931
61	PF02932	TIGR00860
62	PF02931	PF02932
63	PF02931	TIGR00860
64	TIGR00860	PF02932
65	TIGR00860	PF02931
66	PF02932	PF02931
67	PF02931	PF02932
68	PF02932	PF02931
69	PF02931	PF02932
70	PF02932	PF02931
71	PF02931	PF02932
72	PF02932	PF02931
73	PF02932	TIGR00860
74	PF02931	PF02932
75	PF02931	TIGR00860
76	TIGR00860	PF02932
77	TIGR00860	PF02931
78	PF02932	PF02931
79	PF02931	PF02932
80	PF00005	PF00664
81	PF00664	PF00005
82	TIGR00813	TIGR02711
83	TIGR00813	PF00474
84	TIGR02711	TIGR00813
85	TIGR02711	PF00474
86	PF00474	TIGR00813
87	PF00474	TIGR02711
88	TIGR00813	TIGR02711
89	TIGR00813	PF00474
90	TIGR02711	TIGR00813
91	TIGR02711	PF00474
92	PF00474	TIGR00813
93	PF00474	TIGR02711
94	COG4147	TIGR00813
95	COG4147	TIGR02711
96	COG4147	PF00474
97	TIGR00813	COG4147
98	TIGR00813	TIGR02711
99	TIGR00813	PF00474
100	TIGR02711	COG4147
101	TIGR02711	TIGR00813
102	TIGR02711	PF00474
103	PF00474	COG4147
104	PF00474	TIGR00813
105	PF00474	TIGR02711
106	TIGR00813	TIGR02711
107	TIGR00813	PF00474
108	TIGR02711	TIGR00813
109	TIGR02711	PF00474
110	PF00474	TIGR00813
111	PF00474	TIGR02711
112	TIGR00813	TIGR02711
113	TIGR00813	PF00474
114	TIGR02711	TIGR00813
115	TIGR02711	PF00474
