	Node1	Node2
0	PF13520	COG0531
1	COG0531	PF13520
2	PF13520	COG0531
3	COG0531	PF13520
4	PF13520	COG0531
5	COG0531	PF13520
6	PF00375	COG1301
7	COG1301	PF00375
8	PF00375	COG1301
9	COG1301	PF00375
10	PF00375	COG1301
11	COG1301	PF00375
12	TIGR01730	COG1566
13	COG1566	TIGR01730
14	TIGR01730	COG1566
15	COG1566	TIGR01730
16	TIGR01730	COG1566
17	COG1566	TIGR01730
18	TIGR01730	COG1566
19	COG1566	TIGR01730
20	TIGR01730	COG1566
21	COG1566	TIGR01730
22	TIGR01730	COG1566
23	COG1566	TIGR01730
24	TIGR01730	COG1566
25	COG1566	TIGR01730
26	TIGR01730	COG1566
27	COG1566	TIGR01730
28	TIGR01730	COG1566
29	COG1566	TIGR01730
30	TIGR01730	COG1566
31	COG1566	TIGR01730
32	TIGR01730	COG1566
33	COG1566	TIGR01730
34	TIGR01730	COG1566
35	COG1566	TIGR01730
36	TIGR01730	COG1566
37	COG1566	TIGR01730
38	TIGR01730	COG1566
39	COG1566	TIGR01730
40	TIGR01730	COG1566
41	COG1566	TIGR01730
42	TIGR01730	COG1566
43	COG1566	TIGR01730
44	TIGR01730	COG1566
45	COG1566	TIGR01730
46	TIGR01730	COG1566
47	COG1566	TIGR01730
48	TIGR01730	COG1566
49	COG1566	TIGR01730
50	COG0814	PF01490
51	PF01490	COG0814
52	COG0814	PF01490
53	PF01490	COG0814
54	COG0814	PF01490
55	PF01490	COG0814
56	TIGR00907	PF13520
57	PF13520	TIGR00907
58	COG0814	PF01490
59	PF01490	COG0814
60	COG0814	PF01490
61	PF01490	COG0814
62	COG0814	PF01490
63	PF01490	COG0814
64	COG0814	PF01490
65	PF01490	COG0814
66	PF00324	COG1113
67	COG1113	PF00324
68	COG0814	PF01490
69	PF01490	COG0814
70	PF00005	COG1126
71	COG1126	PF00005
72	COG0765	PF00528
73	COG0765	TIGR01726
74	PF00528	COG0765
75	PF00528	TIGR01726
76	TIGR01726	COG0765
77	TIGR01726	PF00528
78	COG4597	PF00528
79	COG4597	TIGR01726
80	PF00528	COG4597
81	PF00528	TIGR01726
82	TIGR01726	COG4597
83	TIGR01726	PF00528
84	PF00005	TIGR02857
85	PF00005	PF00664
86	PF00005	COG4988
87	TIGR02857	PF00005
88	TIGR02857	PF00664
89	TIGR02857	COG4988
90	PF00664	PF00005
91	PF00664	TIGR02857
92	PF00664	COG4988
93	COG4988	PF00005
94	COG4988	TIGR02857
95	COG4988	PF00664
