PF00005	240	ABC transporter
PF00528	116	Binding-protein-dependent transport system inner membrane component
PF00496	24	Bacterial extracellular solute-binding proteins, family 5 Middle
PF08352	20	Oligopeptide/dipeptide transporter, C-terminal region
PF12911	20	N-terminal TM domain of oligopeptide transport permease C
PF01032	20	FecCD transport family
COG0555	20	ABC-type sulfate transport system, permease component
PF02653	19	Branched-chain amino acid transport system / permease component
COG1122	19	ABC-type cobalt transport system, ATPase component
PF02378	18	Phosphotransferase system, EIIC
TIGR01727	18	oligo_HPY: oligopeptide/dipeptide ABC transporter, ATP-binding protein, C-terminal domain
PF00359	18	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
COG0444	17	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
PF01547	17	Bacterial extracellular solute-binding protein
COG1173	17	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
COG0747	17	ABC-type dipeptide transport system, periplasmic component
COG0601	16	ABC-type dipeptide/oligopeptide/nickel transport systems, permease components
COG1762	16	Phosphotransferase system mannitol/fructose-specific IIA domain (Ntr-type)
PF00437	15	Type II/IV secretion system protein
COG3842	15	ABC-type spermidine/putrescine transport systems, ATPase components
TIGR01726	15	HEQRo_perm_3TM: amino ABC transporter, permease protein, 3-TM region, His/Glu/Gln/Arg/opine family
COG0651	14	Formate hydrogenlyase subunit 3/Multisubunit Na+/H+ antiporter, MnhD subunit
COG4166	14	ABC-type oligopeptide transport system, periplasmic component
PF00593	14	TonB dependent receptor
COG0609	14	ABC-type Fe3+-siderophore transport system, permease component
PF00664	14	ABC transporter transmembrane region
PF00361	14	Proton-conducting membrane transporter
TIGR00944	14	2a6301s04: multicomponent K+:H+antiporter
COG2165	13	Type II secretory pathway, pseudopilin PulG
TIGR01404	13	FlhB_rel_III: type III secretion protein, YscU/HrpY family
TIGR02790	13	nickel_nikC: nickel ABC transporter, permease subunit NikC
PF02361	13	Cobalt transport protein
PF07715	13	TonB-dependent Receptor Plug Domain
COG0619	13	ABC-type cobalt transport system, permease component CbiQ and related transporters
PF01891	12	Cobalt uptake substrate-specific transmembrane region
COG1135	12	ABC-type metal ion transport system, ATPase component
TIGR00969	12	3a0106s02: sulfate ABC transporter, permease protein
COG0725	12	ABC-type molybdate transport system, periplasmic component
COG1129	12	ABC-type sugar transport system, ATPase component
TIGR01166	12	cbiO: cobalt ABC transporter, ATP-binding protein
TIGR02139	12	permease_CysT: sulfate ABC transporter, permease protein CysT
COG1178	12	ABC-type Fe3+ transport system, permease component
PF01061	12	ABC-2 type transporter
COG0834	12	ABC-type amino acid transport/signal transduction systems, periplasmic component/domain
COG0600	12	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
TIGR01730	12	RND_mfp: efflux transporter, RND family, MFP subunit
PF01514	12	Secretory protein of YscJ/FliF family
TIGR00974	12	3a0107s02c: phosphate ABC transporter, permease protein PstA
COG4795	11	Type II secretory pathway, component PulJ
PF01899	11	Na+/H+ ion antiporter subunit
COG1132	11	ABC-type multidrug transport system, ATPase and permease components
TIGR03258	11	PhnT: 2-aminoethylphosphonate ABC transport system, ATP-binding component PhnT
TIGR01711	11	gspJ: type II secretion system protein J
COG4208	11	ABC-type sulfate transport system, permease component
TIGR02454	11	ECF_T_CbiQ: cobalt ECF transporter T component CbiQ
COG2804	11	Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB
COG2386	11	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG1124	11	ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component
PF00482	11	Type II secretion system (T2SS), protein F
TIGR02140	11	permease_CysW: sulfate ABC transporter, permease protein CysW
PF04069	11	Substrate binding domain of ABC-type glycine betaine transport system
COG1009	11	NADH:ubiquinone oxidoreductase subunit 5 (chain L)/Multisubunit Na+/H+ antiporter, MnhA subunit
TIGR01399	11	hrcV: type III secretion protein, HrcV family
COG1177	11	ABC-type spermidine/putrescine transport system, permease component II
PF11612	11	Type II secretion system (T2SS), protein J
PF02553	11	Cobalt transport protein component CbiN
COG1930	11	ABC-type cobalt transport system, periplasmic component
COG4168	11	ABC-type antimicrobial peptide transport system, permease component
TIGR01165	11	cbiN: cobalt transport protein
COG0310	11	ABC-type Co2+ transport system, permease component
COG4171	11	ABC-type antimicrobial peptide transport system, permease component
TIGR02789	11	nickel_nikB: nickel ABC transporter, permease subunit NikB
COG1117	11	ABC-type phosphate transport system, ATPase component
TIGR02533	11	type_II_gspE: type II secretion system protein E
COG0581	11	ABC-type phosphate transport system, permease component
TIGR00972	11	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
COG4794	10	Type III secretory pathway, component EscS
COG4790	10	Type III secretory pathway, component EscR
COG4791	10	Type III secretory pathway, component EscT
COG1131	10	ABC-type multidrug transport system, ATPase component
TIGR00966	10	3a0501s07: protein-export membrane protein SecF
TIGR00968	10	3a0106s01: sulfate ABC transporter, ATP-binding protein
PF00324	10	Amino acid permease
COG3297	10	Type II secretory pathway, component PulL
TIGR00942	10	2a6301s05: multicomponent Na+:H+ antiporter
COG1120	10	ABC-type cobalamin/Fe3+-siderophores transport systems, ATPase components
PF05134	10	Type II secretion system (T2SS), protein L
TIGR01102	10	yscR: type III secretion apparatus protein, YscR/HrcR family
TIGR02138	10	phosphate_pstC: phosphate ABC transporter, permease protein PstC
TIGR00916	10	2A0604s01: protein-export membrane protein, SecD/SecF family
COG4133	10	ABC-type transport system involved in cytochrome c biogenesis, ATPase component
COG1134	10	ABC-type polysaccharide/polyol phosphate transport system, ATPase component
COG1006	10	Multisubunit Na+/H+ antiporter, MnhC subunit
TIGR02770	10	nickel_nikD: nickel import ATP-binding protein NikD
COG2111	10	Multisubunit Na+/H+ antiporter, MnhB subunit
COG3638	10	ABC-type phosphate/phosphonate transport system, ATPase component
TIGR01253	10	thiP: thiamine/thiamine pyrophosphate ABC transporter, permease protein
PF02355	10	Protein export membrane protein
PF01313	10	Bacterial export proteins, family 3
COG1175	10	ABC-type sugar transport systems, permease components
TIGR01403	10	fliQ_rel_III: type III secretion protein, HrpO family
PF01311	10	Bacterial export proteins, family 1
COG0755	10	ABC-type transport system involved in cytochrome c biogenesis, permease component
COG2212	10	Multisubunit Na+/H+ antiporter, MnhF subunit
TIGR02544	10	III_secr_YscJ: type III secretion apparatus lipoprotein, YscJ/HrcJ family
TIGR01709	10	typeII_sec_gspL: type II secretion system protein L
COG0573	10	ABC-type phosphate transport system, permease component
TIGR01189	10	ccmA: heme ABC exporter, ATP-binding protein CcmA
TIGR00943	10	2a6301s02: monovalent cation:proton antiporter
TIGR00940	10	2a6301s01: monovalent cation:proton antiporter
TIGR00941	10	2a6301s03: multicomponent Na+:H+ antiporter, MnhC subunit
TIGR01401	10	fliR_like_III: type III secretion apparatus protein SpaR/YscT/HrcT
COG1629	10	Outer membrane receptor proteins, mostly Fe transport
PF04039	10	Domain related to MnhB subunit of Na+/H+ antiporter
COG0614	10	ABC-type Fe3+-hydroxamate transport system, periplasmic component
TIGR01783	10	TonB-siderophor: TonB-dependent siderophore receptor
TIGR01190	10	ccmB: heme exporter protein CcmB
TIGR01186	10	proV: glycine betaine/L-proline transport ATP binding subunit
TIGR01191	10	ccmC: heme exporter protein CcmC
COG1459	10	Type II secretory pathway, component PulF
COG1863	10	Multisubunit Na+/H+ antiporter, MnhE subunit
TIGR00975	10	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
TIGR00971	10	3a0106s03: sulfate ABC transporter, sulfate-binding protein
COG3156	9	Type II secretory pathway, component PulK
COG1450	9	Type II secretory pathway, component PulD
TIGR02135	9	phoU_full: phosphate transport system regulatory protein PhoU
PF03958	9	Bacterial type II/III secretion system short domain
COG0531	9	Amino acid transporters
PF08334	9	Type II secretion system (T2SS), protein G
TIGR02120	9	GspF: type II secretion system protein F
PF05025	9	RbsD / FucU transport protein family
TIGR02294	9	nickel_nikA: nickel ABC transporter, nickel/metallophore periplasmic binding protein
PF02687	9	FtsX-like permease family
PF06808	9	Tripartite ATP-independent periplasmic transporter, DctM component
PF09392	9	Type III secretion needle MxiH, YscF, SsaG, EprI, PscF, EscF
TIGR02105	9	III_needle: type III secretion apparatus needle protein
COG0848	9	Biopolymer transport protein
COG4167	9	ABC-type antimicrobial peptide transport system, ATPase component
TIGR02315	9	ABC_phnC: phosphonate ABC transporter, ATP-binding protein
COG1317	9	Flagellar biosynthesis/type III secretory pathway protein
PF00263	9	Bacterial type II and III secretion system protein
TIGR01843	9	type_I_hlyD: type I secretion membrane fusion protein, HlyD family
COG1925	9	Phosphotransferase system, HPr-related proteins
COG4608	9	ABC-type oligopeptide transport system, ATPase component
COG4170	9	ABC-type antimicrobial peptide transport system, ATPase component
PF04290	9	Tripartite ATP-independent periplasmic transporters, DctQ component
COG1118	9	ABC-type sulfate/molybdate transport systems, ATPase component
TIGR00786	9	dctM: TRAP transporter, DctM subunit
COG0395	9	ABC-type sugar transport system, permease component
PF02472	9	Biopolymer transport protein ExbD/TolR
COG1638	8	TRAP-type C4-dicarboxylate transport system, periplasmic component
TIGR02141	8	modB_ABC: molybdate ABC transporter, permease protein
TIGR02142	8	modC_ABC: molybdate ABC transporter, ATP-binding protein
COG4792	8	Type III secretory pathway, component EscU
TIGR02517	8	type_II_gspD: type II secretion system protein D
TIGR01710	8	typeII_sec_gspG: type II secretion system protein G
COG1121	8	ABC-type Mn/Zn transport systems, ATPase component
PF03480	8	Bacterial extracellular solute-binding protein, family 7
COG1840	8	ABC-type Fe3+ transport system, periplasmic component
PF03934	8	Type II secretion system (T2SS), protein K
COG1137	8	ABC-type (unclassified) transport system, ATPase component
COG2190	8	Phosphotransferase system IIA components
COG1157	8	Flagellar biosynthesis/type III secretory pathway ATPase
COG4149	8	ABC-type molybdate transport system, permease component
