transporter	TIGRFAM	mainrole	sub1role	go_id	go_name	TIGRFAM_NAME	MG_max	MT_max
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005524	ATP binding	xylG: D-xylose ABC transporter, ATP-binding protein	0.07769739165004351	0.00837542108953432
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0009898	cytoplasmic side of plasma membrane	xylG: D-xylose ABC transporter, ATP-binding protein	0.07769739165004351	0.00837542108953432
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	xylG: D-xylose ABC transporter, ATP-binding protein	0.07769739165004351	0.00837542108953432
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015614	D-xylose-importing ATPase activity	xylG: D-xylose ABC transporter, ATP-binding protein	0.07769739165004351	0.00837542108953432
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015753	D-xylose transport	xylG: D-xylose ABC transporter, ATP-binding protein	0.07769739165004351	0.00837542108953432
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Other	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015235	cobalamin-transporting ATPase activity	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0015889	cobalamin transport	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01779	Transport and binding proteins	Porins	GO:0031419	cobalamin binding	TonB-B12: TonB-dependent vitamin B12 receptor	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0006810	transport	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0022857	transmembrane transporter activity	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T10	TIGR01786	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-hemlactrns: TonB-dependent hemoglobin/transferrin/lactoferrin receptor family protein	0.14537166997288395	0.07405215187548563
T100	TIGR01276	Transport and binding proteins	Other	GO:0030288	outer membrane-bounded periplasmic space	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030288	outer membrane-bounded periplasmic space	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0015619	thiamine pyrophosphate-transporting ATPase activity	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0015619	thiamine pyrophosphate-transporting ATPase activity	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0015888	thiamine transport	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0015888	thiamine transport	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030974	thiamine pyrophosphate transmembrane transport	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030974	thiamine pyrophosphate transmembrane transport	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0048502	thiamine-transporting ATPase activity	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0048502	thiamine-transporting ATPase activity	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0009897	external side of plasma membrane	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0009897	external side of plasma membrane	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030975	thiamine binding	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030975	thiamine binding	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030976	thiamine pyrophosphate binding	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01276	Transport and binding proteins	Other	GO:0030976	thiamine pyrophosphate binding	thiB: thiamin/thiamin pyrophosphate ABC transporter, thiamin/thiamin pyrophospate-binding protein	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030288	outer membrane-bounded periplasmic space	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030288	outer membrane-bounded periplasmic space	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0015619	thiamine pyrophosphate-transporting ATPase activity	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0015619	thiamine pyrophosphate-transporting ATPase activity	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0015888	thiamine transport	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0015888	thiamine transport	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030974	thiamine pyrophosphate transmembrane transport	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030974	thiamine pyrophosphate transmembrane transport	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0048502	thiamine-transporting ATPase activity	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0048502	thiamine-transporting ATPase activity	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0009897	external side of plasma membrane	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0009897	external side of plasma membrane	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030975	thiamine binding	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030975	thiamine binding	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030976	thiamine pyrophosphate binding	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
T100	TIGR01254	Transport and binding proteins	Other	GO:0030976	thiamine pyrophosphate binding	sfuA: ABC transporter periplasmic binding protein, thiB subfamily	0.35591660179183865	0.1034977520976412
