From	To
Q91G50	15042202
Q91G50	82012295
Q91G50	15078762
O70212	2978506
O70212	2978508
O70212	24211440
O70212	289577118
P46098	30583247
P46098	9790622
P46098	3115222
P46098	253735700
P46098	253735697
P46098	194389674
P46098	20379142
P46098	681914
P46098	9715820
P46098	37514834
P46098	21261126
P46098	3115224
P46098	253735691
P46098	1168222
P46098	119587642
P46098	12803101
P46098	119587644
P35563	402246
P35563	139947611
P35563	1168223
P35563	681916
Q9JHJ5	81881892
Q9JHJ5	28422671
Q9JHJ5	8132418
Q9JHJ5	8132427
Q9JHJ5	9938026
Q9JHJ5	148693768
Q9JHJ5	26351509
O95264	74705987
O95264	6103621
O95264	767970770
O95264	167887588
O95264	40784516
O95264	5174469
O95264	189067220
O95264	111607007
O95264	4218949
P23979	672885916
P23979	488694
P23979	153792456
P23979	672885914
P23979	672885915
P23979	191532
P23979	488695
P23979	112809
P23979	313864
P23979	817940
P23979	672885912
P23979	672885913
Q9JJ16	11120504
Q9JJ16	8132416
Q9JJ16	81868595
Q9JJ16	11559956
Q6J163	257325564
Q6J163	219785523
Q6J163	219792505
Q6J163	257703830
Q6J163	219892400
Q6J163	257623609
Q6J163	75124023
Q6J163	47716870
Q6J163	257646670
Q9NS82	9309293
Q9NS82	25089504
Q9NS82	23243283
Q9NS82	18073360
Q9NS82	9790235
Q9NS82	189067576
Q9NS82	15277644
P63116	14575545
P63116	52000884
P63115	300577379
P63115	12837730
P63115	300553733
P63115	259444252
P63115	7415938
P63115	300651862
P63115	259687318
P63115	259680047
P63115	300551759
P63115	229092254
P63115	259463849
P63115	52000888
P63115	32493327
Q95JC7	27807087
Q95JC7	21541958
Q4R8W8	75077197
Q4R8W8	545687038
Q15758	4191556
Q15758	21542389
Q15758	5032093
Q15758	194386758
Q15758	119577850
Q15758	223468564
Q15758	15004317
Q15758	158258817
Q15758	1478281
Q15758	223468566
Q15758	260875605
Q15758	4689195
Q15758	221040272
Q15758	12652633
Q15758	194377150
O19105	3023228
O19105	2315861
O19105	126722723
P51912	1398983
P51912	806489
P51912	3041661
P39906	728750
P39906	458689
P39906	500953408
P0A0C2	508209123
P0A0C2	446950888
P0A0C2	29345308
P0A0C2	29377856
P0A0C2	508171767
P0A0C2	60391186
Q52S23	446950888
Q52S23	209808845
Q52S23	75476240
P0A0C1	446950888
P0A0C1	661918482
P0A0C1	170780444
P0A0C1	661918485
P0A0C1	410506914
P0A0C1	60391185
P0A0C1	410506988
P0A0C1	302344741
P0A0C1	555229578
P0A0C1	410500277
P0A0C1	661918483
P0A0C1	410500219
P0A0C1	33416262
P0A0C1	661918484
P0A0C1	410500035
P0A0C1	32470427
P0A0C1	226464432
P0A0C1	410500008
P0A0C1	410500139
P0A0C0	14020910
P0A0C0	446950888
P0A0C0	60391184
Q5HMP3	57638145
Q5HMP3	446950888
Q5HMP3	75095473
Q4L605	446950888
Q4L605	88909247
Q4L605	68447336
Q7ATH7	446950888
Q7ATH7	699027697
Q7ATH7	31074827
Q7ATH7	31074831
Q7ATH7	699027698
Q7ATH7	695209642
Q7ATH7	695264030
Q7ATH7	695209638
Q7ATH7	75442622
Q7ATH9	446950888
Q7ATH9	695209630
Q7ATH9	695227797
Q7ATH9	75442623
B7UJX3	446776777
B7UJX3	215266621
B7UJX3	254801255
A8AQD5	157086020
A8AQD5	167017125
A8AQD5	501084888
A7MJB1	156534013
A7MJB1	167017129
A7MJB1	504542670
B7MC02	226706817
B7MC02	218367072
Q8X9E5	13363587
Q8X9E5	60389414
Q8X9E5	12517862
Q8X9E5	15833368
Q8X9E5	821094134
Q8X9E5	814579836
Q8X9E5	937301654
Q8X9E5	446776782
Q8X9E5	814572107
B7LHU9	218353672
B7LHU9	254801256
B7LHU9	446776765
A7ZSD5	752464214
A7ZSD5	157077267
A7ZSD5	446776765
A7ZSD5	167017126
B7N0M6	446776777
B7N0M6	218429087
B7N0M6	254801257
B1XHL3	226706821
B1XHL3	169890607
B1XHL3	446776765
A8A550	167017127
A8A550	157068399
A8A550	446776781
Q0TCM4	446776777
Q0TCM4	110345068
Q0TCM4	123048800
A1AGD4	446776777
A1AGD4	158512557
A1AGD4	115514649
C4ZSX9	238862069
C4ZSX9	259709953
C4ZSX9	446776765
B7M0V3	218362573
B7M0V3	226706820
B7M0V3	446776764
B7NLF9	446776767
B7NLF9	218702006
B7NLF9	226706819
B7NLF9	218371992
B1IQN8	446776777
B1IQN8	169753443
B1IQN8	189027257
Q8FD50	446776777
Q8FD50	60389411
Q8FD50	26110250
B7NDL9	226706822
B7NDL9	218433952
B7NDL9	218706855
B7NDL9	446776779
B5YSW7	226706818
B5YSW7	446776782
B5YSW7	209157647
P46482	808706252
P46482	808701877
P46482	16131131
P46482	808723754
P46482	808710606
P46482	1789637
P46482	808719384
P46482	85676034
P46482	731472149
P46482	802136562
P46482	808714974
P46482	1176207
P46482	808732071
P46482	808736509
P46482	446776765
P46482	606180
B6I1V9	446776777
B6I1V9	226706823
B6I1V9	209913970
B1LGK7	446776777
B1LGK7	170520745
B1LGK7	226706824
A4WF55	145320188
A4WF55	167017128
A4WF55	506440941
B7LRL6	226706826
B7LRL6	446776787
B7LRL6	218358066
Q6DAH5	499404445
Q6DAH5	259707915
Q6DAH5	300574875
Q6DAH5	81646518
Q6DAH5	49609764
B5F7M5	226706828
B5F7M5	446777882
B5F7M5	197213416
B5XSP8	206569881
B5XSP8	226706827
B5XSP8	496082176
B2VGW1	188027492
B2VGW1	226706825
B2VGW1	501408491
Q57JA3	62129506
Q57JA3	446777878
Q57JA3	75480456
B5FIU3	226706829
B5FIU3	197939406
B5FIU3	446777878
B5R1A8	226706830
B5R1A8	206710416
B5R1A8	446777878
C6DIM2	251753246
