transporter	TIGRFAM	mainrole	sub1role	go_id	go_name	TIGRFAM_NAME
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005524	ATP binding	xylG: D-xylose ABC transporter, ATP-binding protein
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0009898	cytoplasmic side of plasma membrane	xylG: D-xylose ABC transporter, ATP-binding protein
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	xylG: D-xylose ABC transporter, ATP-binding protein
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015614	D-xylose-importing ATPase activity	xylG: D-xylose ABC transporter, ATP-binding protein
T1	TIGR02633	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015753	D-xylose transport	xylG: D-xylose ABC transporter, ATP-binding protein
T2	TIGR00998	Transport and binding proteins	Other			8a0101: efflux pump membrane protein
T2	TIGR01730	Transport and binding proteins	Unknown substrate	GO:0006810	transport	RND_mfp: efflux transporter, RND family, MFP subunit
T2	TIGR01730	Transport and binding proteins	Unknown substrate	GO:0005215	transporter activity	RND_mfp: efflux transporter, RND family, MFP subunit
T2	TIGR00915	Cellular processes	Toxin production and resistance	GO:0006810	transport	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T2	TIGR00915	Cellular processes	Toxin production and resistance	GO:0016021	integral component of membrane	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T2	TIGR00915	Cellular processes	Toxin production and resistance	GO:0015562	efflux transmembrane transporter activity	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T2	TIGR00915	Transport and binding proteins	Unknown substrate	GO:0006810	transport	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T2	TIGR00915	Transport and binding proteins	Unknown substrate	GO:0016021	integral component of membrane	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T2	TIGR00915	Transport and binding proteins	Unknown substrate	GO:0015562	efflux transmembrane transporter activity	2A0602: RND transporter, hydrophobe/amphiphile efflux-1 (HAE1) family
T3	TIGR00974	Transport and binding proteins	Anions	GO:0005887	integral component of plasma membrane	3a0107s02c: phosphate ABC transporter, permease protein PstA
T3	TIGR00974	Transport and binding proteins	Anions	GO:0006817	phosphate ion transport	3a0107s02c: phosphate ABC transporter, permease protein PstA
T3	TIGR00974	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	3a0107s02c: phosphate ABC transporter, permease protein PstA
T3	TIGR00974	Transport and binding proteins	Anions	GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity	3a0107s02c: phosphate ABC transporter, permease protein PstA
T3	TIGR00972	Transport and binding proteins	Anions	GO:0006817	phosphate ion transport	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T3	TIGR00972	Transport and binding proteins	Anions	GO:0005524	ATP binding	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T3	TIGR00972	Transport and binding proteins	Anions	GO:0009898	cytoplasmic side of plasma membrane	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T3	TIGR00972	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T3	TIGR00972	Transport and binding proteins	Anions	GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity	3a0107s01c2: phosphate ABC transporter, ATP-binding protein
T3	TIGR02138	Transport and binding proteins	Anions	GO:0005887	integral component of plasma membrane	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T3	TIGR02138	Transport and binding proteins	Anions	GO:0006817	phosphate ion transport	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T3	TIGR02138	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T3	TIGR02138	Transport and binding proteins	Anions	GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity	phosphate_pstC: phosphate ABC transporter, permease protein PstC
T3	TIGR00975	Transport and binding proteins	Anions	GO:0030288	outer membrane-bounded periplasmic space	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T3	TIGR00975	Transport and binding proteins	Anions	GO:0006817	phosphate ion transport	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T3	TIGR00975	Transport and binding proteins	Anions	GO:0055052	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T3	TIGR00975	Transport and binding proteins	Anions	GO:0031362	anchored component of external side of plasma membrane	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T3	TIGR00975	Transport and binding proteins	Anions	GO:0015415	ATPase-coupled phosphate ion transmembrane transporter activity	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T3	TIGR00975	Transport and binding proteins	Anions	GO:0042301	phosphate ion binding	3a0107s03: phosphate ABC transporter, phosphate-binding protein PstS
T4	TIGR02533	Protein fate	Protein and peptide secretion and trafficking	GO:0008565	protein transporter activity	type_II_gspE: type II secretion system protein E
T4	TIGR02533	Protein fate	Protein and peptide secretion and trafficking	GO:0015627	type II protein secretion system complex	type_II_gspE: type II secretion system protein E
T4	TIGR02533	Protein fate	Protein and peptide secretion and trafficking	GO:0015628	protein secretion by the type II secretion system	type_II_gspE: type II secretion system protein E
T4	TIGR02533	Cellular processes	Pathogenesis	GO:0008565	protein transporter activity	type_II_gspE: type II secretion system protein E
T4	TIGR02533	Cellular processes	Pathogenesis	GO:0015627	type II protein secretion system complex	type_II_gspE: type II secretion system protein E
T4	TIGR02533	Cellular processes	Pathogenesis	GO:0015628	protein secretion by the type II secretion system	type_II_gspE: type II secretion system protein E
T4	TIGR02120	Protein fate	Protein and peptide secretion and trafficking	GO:0008565	protein transporter activity	GspF: type II secretion system protein F
T4	TIGR02120	Protein fate	Protein and peptide secretion and trafficking	GO:0015627	type II protein secretion system complex	GspF: type II secretion system protein F
T4	TIGR02120	Protein fate	Protein and peptide secretion and trafficking	GO:0015628	protein secretion by the type II secretion system	GspF: type II secretion system protein F
T5	TIGR00786	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005887	integral component of plasma membrane	dctM: TRAP transporter, DctM subunit
T5	TIGR00786	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015556	C4-dicarboxylate transmembrane transporter activity	dctM: TRAP transporter, DctM subunit
T5	TIGR00786	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015740	C4-dicarboxylate transport	dctM: TRAP transporter, DctM subunit
T5	TIGR00786	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0031317	tripartite ATP-independent periplasmic transporter complex	dctM: TRAP transporter, DctM subunit
T5	TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0006810	transport	dctP: TRAP transporter solute receptor, DctP family
T5	TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0031317	tripartite ATP-independent periplasmic transporter complex	dctP: TRAP transporter solute receptor, DctP family
T5	TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005215	transporter activity	dctP: TRAP transporter solute receptor, DctP family
T5	TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005488	binding	dctP: TRAP transporter solute receptor, DctP family
T5	TIGR00787	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0030288	outer membrane-bounded periplasmic space	dctP: TRAP transporter solute receptor, DctP family
T7	TIGR02711	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0005887	integral component of plasma membrane	symport_actP: cation/acetate symporter ActP
T7	TIGR02711	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0006814	sodium ion transport	symport_actP: cation/acetate symporter ActP
T7	TIGR02711	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0015370	solute:sodium symporter activity	symport_actP: cation/acetate symporter ActP
T7	TIGR02711	Transport and binding proteins	Carbohydrates, organic alcohols, and acids	GO:0031402	sodium ion binding	symport_actP: cation/acetate symporter ActP
T7	TIGR00813	Transport and binding proteins	Cations and iron carrying compounds	GO:0005887	integral component of plasma membrane	sss: transporter, solute:sodium symporter (SSS) family
T7	TIGR00813	Transport and binding proteins	Cations and iron carrying compounds	GO:0006810	transport	sss: transporter, solute:sodium symporter (SSS) family
T7	TIGR00813	Transport and binding proteins	Cations and iron carrying compounds	GO:0015370	solute:sodium symporter activity	sss: transporter, solute:sodium symporter (SSS) family
T7	TIGR02121	Transport and binding proteins	Amino acids, peptides and amines	GO:0016020	membrane	Na_Pro_sym: sodium/proline symporter
T7	TIGR02121	Transport and binding proteins	Amino acids, peptides and amines	GO:0005298	proline:sodium symporter activity	Na_Pro_sym: sodium/proline symporter
T7	TIGR02121	Transport and binding proteins	Amino acids, peptides and amines	GO:0015824	proline transport	Na_Pro_sym: sodium/proline symporter
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor
T10	TIGR01783	Transport and binding proteins	Cations and iron carrying compounds	GO:0015892	siderophore transport	TonB-siderophor: TonB-dependent siderophore receptor
T10	TIGR01783	Transport and binding proteins	Porins	GO:0019867	outer membrane	TonB-siderophor: TonB-dependent siderophore receptor
T10	TIGR01783	Transport and binding proteins	Porins	GO:0015343	siderophore transmembrane transporter activity	TonB-siderophor: TonB-dependent siderophore receptor
