Compound_cat1	Compound_cat2	Compound	Transporter	TransportCluster	Family	Desc	Comment	
ABC-transporters	ABC-transporters			T141	COG3218	ABC-type uncharacterized transport system, auxiliary component		
ABC-transporters	ABC-transporters			T142	COG0390	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T143	COG4137	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T183	COG1744	Uncharacterized ABC-type transport system, periplasmic component/surface lipoprotein		
ABC-transporters	ABC-transporters			T184	COG3932	Uncharacterized ABC-type transport system, permease components		
ABC-transporters	ABC-transporters			T20	PF00005	ABC transporter		
ABC-transporters	ABC-transporters			T20	PF12848	ABC transporter		
ABC-transporters	ABC-transporters			T20	PF13748	ABC transporter transmembrane region		
ABC-transporters	ABC-transporters			T20	PF00664	ABC transporter transmembrane region		
ABC-transporters	ABC-transporters			T20	PF12730	ABC-2 family transporter protein		
ABC-transporters	ABC-transporters			T20	PF06472	ABC transporter transmembrane region 2		
ABC-transporters	ABC-transporters			T20	PF12698	ABC-2 family transporter protein		
ABC-transporters	ABC-transporters			T20	PF12679	ABC-2 family transporter protein		
ABC-transporters	ABC-transporters			T20	PF01061	ABC-2 type transporter		
ABC-transporters	ABC-transporters			T20	COG0842	ABC-type multidrug transport system, permease component		
ABC-transporters	ABC-transporters			T20	PF00528	Binding-protein-dependent transport system inner membrane component		
ABC-transporters	ABC-transporters			T20.3	COG4181	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, ATPase component		
ABC-transporters	ABC-transporters			T20.37	COG4132	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T20.44	COG1127	ABC-type transport system involved in resistance to organic solvents, ATPase component		
ABC-transporters	ABC-transporters			T20.44	COG2854	ABC-type transport system involved in resistance to organic solvents, auxiliary component		
ABC-transporters	ABC-transporters			T20.44	COG1463	ABC-type transport system involved in resistance to organic solvents, periplasmic component		
ABC-transporters	ABC-transporters			T20.54	COG1101	ABC-type uncharacterized transport system, ATPase component		
ABC-transporters	ABC-transporters			T20.55	COG4136	ABC-type uncharacterized transport system, ATPase component		
ABC-transporters	ABC-transporters			T20.55	COG4134	ABC-type uncharacterized transport system, periplasmic component		
ABC-transporters	ABC-transporters			T20.55	COG4135	ABC-type uncharacterized transport system, permease component		
ABC-transporters	ABC-transporters			T20.56	COG4152	ABC-type uncharacterized transport system, ATPase component		
